5-5      Number of Employed Persons at the Year-end by Sector,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(10 000 persons),
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,8,7,6,6,6,9,7,7,8,9,9
,Total,"Farming,",Mining,Manufacturing,Production,Construction,Geological,"Transport,",Wholesale,Finance,Real,Social,Health,"Education,",Scientific,Government,Others
,,"Forestry,",and,,and Supply of,,Prospecting,"Storage,",and Retail,and,Estate,Services,"Care,",Culture and,Research,"Agencies,",
Year,,Animal,Quarrying,,Electricity,,and Water,Post &,Trade,Insurance,Trade,,Sports &,"Arts, Radio,",and,Party,
Region,,Husbandry,,,Gas and,,Conservancy,Telecommu-,& Catering,,,,Social,Film and,Polytechnic,Agencies,
,,and Fishery,,,Water,,,nication,Services,,,,Welfare,Television,Services,and  Social,
,,,,,,,,Services,,,,,,,,Organizations,
,,,,,,,,,,,,,,,,,
1978,40152,28318,652,5332,107,854,178,750,1140,76,31,179,363,1093,92,467,521
1979,41024,28634,670,5516,112,916,185,781,1232,86,34,210,386,1131,100,505,527
1980,42361,29122,697,5899,118,993,188,805,1363,99,37,276,389,1147,113,527,588
,,,,,,,,,,,,,,,,,
1981,43725,29777,728,6122,125,1028,188,844,1491,107,38,305,375,1095,127,556,819
1982,45295,30859,747,6329,128,1142,191,878,1576,113,38,322,399,1128,132,611,702
1983,46436,31151,758,6508,131,1282,193,936,1732,117,37,367,415,1151,133,646,879
1984,48197,30868,767,7029,134,1660,197,1122,1994,127,36,439,435,1204,137,743,1305
1985,49873,31130,795,7412,142,2035,197,1279,2306,138,36,401,467,1273,144,799,1319
                      ,         ,            ,          ,           ,              ,          ,              ,            ,          ,         ,          ,        ,          ,            ,          ,             ,       
1986,51282,31254,809,8019,152,2236,197,1376,2413,152,38,466,482,1324,152,873,1338
1987,52783,31663,819,8359,164,2384,200,1453,2576,170,39,501,496,1375,158,925,1502
1988,54334,32249,832,8652,177,2491,204,1521,2743,194,42,534,508,1403,161,971,1655
1989,55329,33225,842,8547,180,2407,199,1522,2770,205,43,550,518,1426,165,1022,1709
1990,63909,34117,882,8624,192,2424,197,1566,2839,218,44,594,536,1457,173,1079,1798
                      ,          ,            ,          ,           ,              ,          ,              ,           ,          ,         ,          ,        ,          ,            ,          ,             ,       
1991,64799,34956,905,8839,203,2482,199,1617,2998,234,48,604,553,1497,179,1136,1910
1992,65554,34795,898,9106,215,2660,202,1674,3209,248,54,643,565,1520,183,1148,2313
1993,66373,33966,932,9295,240,3050,144,1688,3459,270,66,543,416,1210,173,1030,3740
1994,67199,33386,915,9613,246,3188,139,1864,3921,264,74,626,434,1436,178,1033,4155
1995,67947,33018,932,9803,258,3322,135,1942,4292,276,80,703,444,1476,182,1042,4484
                      ,         ,            ,          ,           ,              ,          ,              ,           ,          ,         ,           ,        ,          ,            ,          ,             ,       
1996,68850,32910,902,9763,273,3408,129,2013,4511,292,84,747,458,1513,183,1093,4563
1997,69600,33095,868,9612,283,3449,129,2062,4795,308,87,810,471,1557,186,1093,4862
1998,69957,33232,721,8319,283,3327,116,2000,4645,314,94,868,478,1573,178,1097,5118
