5-5    Number of Employed Persons at the Year-end by Sector ,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,, (10 000 persons)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,8,7,6,6,6,9,7,7,8,9,9
,,"Farming,",,,Production,,,"Transport,",Wholesale,,,,Health,"Education,",Scientific,Government,
Year,,"Forestry,",,,and Supply of,,Geological,"Storage,",and Retail,,,,"Care,",Culture and,Research,"Agencies,",
,Total,Animal,Mining and,Manufacturing,Electricity,Construction,Prospecting,Post &,Trade,Finance,Real,Social,Sports &,"Arts, Radio,",and,Party,Others
Region,,Husbandry,Quarrying,,Gas and,,and Water,Telecommu-,& Catering,and,Estate,Services,Social,Film and,Polytechnic,Agencies,
,,and Fishery,,,Water,,Conservancy,nication,Services,Insurance,,,Welfare,Television,Services,and  Social,
,,,,,,,,Services,,,,,,,,Organizations,
,,,,,,,,,,,,,,,,,
1978,40152,28318,652,5332,107,854,178,750,1140,76,31,179,363,1093,92,467,521
1980,42361,29122,697,5899,118,993,188,805,1363,99,37,276,389,1147,113,527,588
1985,49873,31130,795,7412,142,2035,197,1279,2306,138,36,401,467,1273,144,799,1319
1990,64749,34117,882,8624,192,2424,197,1566,2839,218,44,594,536,1457,173,1079,1798
                       ,,             ,           ,            ,               ,           ,               ,            ,           ,          ,           ,         ,           ,             ,           ,              ,        
1991,65491,34956,905,8839,203,2482,199,1617,2998,234,48,604,553,1497,179,1136,1910
1992,66152,34795,898,9106,215,2660,202,1674,3209,248,54,643,565,1520,183,1148,2313
1993,66808,33966,932,9295,240,3050,144,1688,3459,270,66,543,416,1210,173,1030,3740
1994,67455,33386,915,9613,246,3188,139,1864,3921,264,74,626,434,1436,178,1033,4155
1995,68065,33018,932,9803,258,3322,135,1942,4292,276,80,703,444,1476,182,1042,4484
                       ,,             ,           ,            ,               ,           ,               ,            ,           ,          ,           ,         ,           ,             ,           ,              ,        
1996,68950,32910,902,9763,273,3408,129,2013,4511,292,84,747,458,1513,183,1093,4563
1997,69820,33095,868,9612,283,3449,129,2062,4795,308,87,810,471,1557,186,1093,4862
1998,70637,33232,721,8319,283,3327,116,2000,4645,314,94,868,478,1573,178,1097,5118
1999,71394,33493,667,8109,285,3412,111,2022,4751,328,96,923,482,1568,173,1102,4969
2000,72085,33355,597,8043,284,3552,110,2029,4686,327,100,921,488,1565,174,1104,5643
,,,,,,,,,,,,,,,,,
2001,73025,32974,561,8083,288,3669,105,2037,4737,336,107,976,493,1568,165,1101,5852
,,,,,,,,,,,,,,,,,
Beijing,629.5,70.6,2.5,130.3,4,73.8,1.4,32.5,77.1,8,13.6,69.6,15.6,41.4,28.6,24.7,35.8
Tianjin,410.5,82.2,7.5,126.4,3.5,24,1.1,25.7,51.6,4.1,2.5,16.9,7,18.8,4.4,12.1,22.6
Hebei,3379.6,1675.4,31.7,569.2,16,242.1,5.7,128.3,249.7,16.5,2.5,33.2,21.7,86.7,4.6,64.4,231.8
Shanxi,1412.9,662.4,52,210.7,11.1,72.7,3.3,78.6,116.2,10.4,1.3,18.4,13.8,48.5,4,41.7,67.8
