5-5    Number of Employed Persons at the Year-end by Sector ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, (10 000 persons)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,8,7,6,6,6,9,7,7,8,9,9
,,"Farming,",,,Production,,,"Transport,",Wholesale,,,,Health,"Education,",Scientific,Government,
Year,,"Forestry,",,,and Supply of,,Geological,"Storage,",and Retail,,,,"Care,",Culture and,Research,"Agencies,",
,Total,Animal,Mining and,Manufacturing,Electricity,Construction,Prospecting,Post &,Trade,Finance,Real,Social,Sports &,"Arts, Radio,",and,Party,Others
Region,,Husbandry,Quarrying,,Gas and,,and Water,Telecommu-,& Catering,and,Estate,Services,Social,Film and,Polytechnic,Agencies,
,,and Fishery,,,Water,,Conservancy,nication,Services,Insurance,,,Welfare,Television,Services,and  Social,
,,,,,,,,Services,,,,,,,,Organizations,
1980,42361,29122,697,5899,118,993,188,805,1363,99,37,276,389,1147,113,527,588
1985,49873,31130,795,7412,142,2035,197,1279,2306,138,36,401,467,1273,144,799,1319
1989,55329,33225,842,8547,180,2407,199,1522,2770,205,43,550,518,1426,165,1022,1709
1990,64749,34117,882,8624,192,2424,197,1566,2839,218,44,594,536,1457,173,1079,1798
1991,65491,34956,905,8839,203,2482,199,1617,2998,234,48,604,553,1497,179,1136,1910
1992,66152,34795,898,9106,215,2660,202,1674,3209,248,54,643,565,1520,183,1148,2313
1993,66808,33966,932,9295,240,3050,144,1688,3459,270,66,543,416,1210,173,1030,3740
1994,67455,33386,915,9613,246,3188,139,1864,3921,264,74,626,434,1436,178,1033,4155
1995,68065,33018,932,9803,258,3322,135,1942,4292,276,80,703,444,1476,182,1042,4484
1996,68950,32910,902,9763,273,3408,129,2013,4511,292,84,747,458,1513,183,1093,4563
1997,69820,33095,868,9612,283,3449,129,2062,4795,308,87,810,471,1557,186,1093,4862
1998,70637,33232,721,8319,283,3327,116,2000,4645,314,94,868,478,1573,178,1097,5118
1999,71394,33493,667,8109,285,3412,111,2022,4751,328,96,923,482,1568,173,1102,4969
2000,72085,33355,597,8043,284,3552,110,2029,4686,327,100,921,488,1565,174,1104,5643
2001,73025,32974,561,8083,288,3669,105,2037,4737,336,107,976,493,1568,165,1101,5852
2002,73740,32487,558,8307,290,3893,98,2084,4969,340,118,1094,493,1565,163,1075,6245
,,,,,,,,,,,,,,,,,
Beijing,798.9,67.8,2.7,152.2,3.8,87.7,1.3,36.4,120.2,8.2,16.3,109.6,14.1,42.8,26.4,23,86.4
Tianjin,403.1,81.5,8,120.8,3.6,22.8,1.1,25.4,47.8,4.1,3.5,18.4,7,20.1,4.6,12,22.3
Hebei,3385.6,1662.6,30.4,579.6,16.2,247.9,6,128.4,254.7,18.1,2.5,32,21.8,86.4,4.3,61.2,233.5
Shanxi,1417.3,662.9,53,207.8,11.4,75,3.3,80.7,118.9,10.9,1.2,18.3,14,48.4,3.8,39.9,67.8
Inner Mongolia,1010.1,563.3,26.8,81.6,8.8,38.8,3.2,38.9,87.9,7.7,1.9,23.3,10.5,35.5,2.6,27.9,51.2
