                             5-6  Number of Employed Persons in Urban Units at the Year-end by Sector and Region,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(10 000 persons)
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,Scientific,Management,Services to,Education,"Health,","Culture,",Public
,,"Agriculture,",Mining,Manufacturing,Production,Construction,"Transport,",Information,Wholesale,Hotels,Financial,Real Estate,Leasing,"Research,",of Water,Households,,Social,Sports,Management
Region,,"Forestry,",,,and,,Storage,"Transmission,",and,and,Intermediation,,and,Technical,"Conservancy,",and,,Securities,and,and Social
,Total,Animal,,,Supply,,and Post,Computer,Retail Trade,Catering ,,,Business,"Services, and",Environment,Other,,and Social,Entertainment,Organization
,,Husbandry,,,"of Electricity,",,,Service and,,Services,,,Services,Geological,and Public,Services,,Welfare,,
,,and Fishing,,,Gas and Water,,,Software,,,,,,Prospecting,Facilities,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
2004,11098.9,466.1,500.7,3050.8,300.6,841,631.8,123.7,586.7,177.1,356,133.4,194.4,222.1,176.1,54.2,1466.8,494.7,123.4,1199
2005,11404,446.3,509.2,3210.9,299.9,926.6,613.9,130.1,544,181.2,359.3,146.5,218.5,227.7,180.4,53.9,1483.2,508.9,122.5,1240.8
,,,,,,,,,,,,,,,,,,,,
Beijing,505.6,2.8,2.2,102.4,5.8,41.1,37.1,19.4,38.8,24.6,15.8,23.3,46.7,31.6,7,10.3,36.8,16.2,14.1,29.7
Tianjin,194.1,0.8,7.3,77.7,3.4,9.1,11.8,2.4,11.7,3,5.1,2.3,6.6,5.3,3.6,4.3,17,7.7,1.7,13.2
Hebei,495.6,8.5,27.6,120.3,17.4,33.9,25.6,4.7,27,5.1,18.1,2.9,4.7,7.6,8.6,2.1,84,22.8,4.9,69.8
Shanxi,360.5,3.6,66.3,72.2,10.1,20.8,20,4.1,21,4,12.1,1.3,4.8,5.9,5,1.3,46.4,13.9,4.3,43.6
Inner Mongolia,243,30.1,17.5,44,9.1,13,15.9,2.5,7.4,2.6,8.1,1.4,2.7,4.1,5.9,0.8,33,10.5,3.1,31.2
,,,,,,,,,,,,,,,,,,,,
Liaoning,497.1,28.8,30.5,150.4,16.9,28.3,33,5.1,16.9,6.1,18.2,6.2,9.5,9.1,10.8,2.1,51.3,21.9,5.2,46.7
Jilin,261.9,20.3,13.5,60.4,8,13.5,17.9,3.1,9.6,3.1,9.3,2.8,3.2,5.8,6.9,1,36.8,14.3,3.7,28.7
Heilongjiang,490.4,88.9,45.1,102.5,15.4,36.2,27.9,4.1,21.6,3.8,11.5,4.3,4.6,9.4,7.9,5,42.5,17,3.6,39.2
,,,,,,,,,,,,,,,,,,,,
Shanghai,333.2,1.5,0.1,118.7,5.4,13.3,32.8,4.2,24.4,7.8,15.8,8.2,14.9,13.2,5.1,4,25.7,15.5,4.5,18.3
Jiangsu,628.8,15.5,14.9,251.6,14.1,27,33,6.5,28.9,8.6,22.2,5.8,9.1,9.2,10,1.2,81.8,29.9,5,54.7
Zhejiang,531.1,1.8,1.8,203.4,10.1,82.5,19.3,4.9,19.2,9.8,19.1,6.2,14.2,7.4,5.9,1,51.5,23.9,4.6,44.3
Anhui,335.3,9.4,28.5,68.3,9.3,27.7,16.1,3.2,17.5,2.7,11.2,3.2,4.3,5.3,5.7,0.5,57.5,17.7,4.2,43.2
Fujian,400.1,7.5,4.2,200.2,8.1,30.6,15,3.5,11,4.9,9.9,5.1,4.9,3.9,3.8,1.2,42.3,12.2,3.2,28.5
