,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(10 000 persons)
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
,Total,"Agriculture,",Mining,Manufacturing,Production,Construction,"Transport,",Information,Wholesale,Hotels,Financial,Real Estate,Leasing,Scientific,Management,Services to,Education,"Health,","Culture,",Public
Year,,"Forestry,",,,and,,Storage,"Transmission,",and,and,Intermediation,,and,"Research,",of Water,Households,,Social,Sports,Management
,,Animal,,,Distribution,,and Post,Computer,Retail,Catering,,,Business,Technical,"Conservancy,",and,,Securities,and,and Social
Region,,Husbandry,,,"of Electricity,",,,Service and,Trades,Services,,,Services,"Services, and",Environment,Other,,and Social,Entertainment,Organization
,,and Fishery,,,Gas and Water,,,Software,,,,,,Geological,and Public,Services,,Welfare,,
,,,,,,,,,,,,,,Prospecting,Facilities,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
2004,11098.9,466.1,500.7,3050.8,300.6,841,631.8,123.7,586.7,177.1,356,133.4,194.4,222.1,176.1,54.2,1466.8,494.7,123.4,1199
2005,11404,446.3,509.2,3210.9,299.9,926.6,613.9,130.1,544,181.2,359.3,146.5,218.5,227.7,180.4,53.9,1483.2,508.9,122.5,1240.8
2006,11713.2,435.2,529.7,3351.6,302.5,988.7,612.7,138.2,515.7,183.9,367.4,153.9,236.7,235.5,187,56.6,1504.4,525.4,122.4,1265.6
2007,12024.4,426.3,535,3465.4,303.4,1050.8,623.1,150.2,506.9,185.8,389.7,166.5,247.2,243.4,193.5,57.4,1520.9,542.8,125,1291.2
2008,12192.5,410.1,540.4,3434.3,306.5,1072.6,627.3,159.5,514.4,193.2,417.6,172.7,274.7,257,197.3,56.5,1534,563.6,126,1335
2009,12573,373.7,553.7,3491.9,307.7,1177.5,634.4,173.8,520.8,202.1,449,190.9,290.5,272.6,205.7,58.8,1550.4,595.8,129.5,1394.3
,,,,,,,,,,,,,,,,,,,,
Beijing,619.3,3.2,5,99.5,6.6,34.1,50.1,36.2,50.2,28.3,25.4,30.1,72.9,43.8,8.8,7.6,41.7,20.1,15.8,40
Tianjin,201.7,0.7,9.3,72.9,3.3,10.7,12.3,2.5,11.9,4.1,6.7,3.1,7.3,5.9,3.6,7,16.6,8.5,1.8,13.6
Hebei,503.1,7.1,27,117,19.8,33.9,25.5,6,22.1,4.5,23.4,3.3,5.1,8.4,9.3,1.9,82.5,25.8,4.7,75.6
