,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,(10 000 persons),,,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
Year,,"Agriculture,",Mining,Manufacturing,Production,Construction,"Transport,",Information,Wholesale,Hotels,Financial,Real Estate,Leasing,Scientific,Management,Services to,Education,"Health,","Culture,",Public
,,"Forestry,",,,and,,Storage,"Transmission,",and,and,Intermediation,,and,"Research,",of Water,Households,,Social,Sports,Management
,Total,Animal,,,Distribution,,and Post,Computer,Retail,Catering,,,Business,Technical,"Conservancy,",and,,Securities,and,and Social
Region,,Husbandry,,,"of Electricity,",,,Service and,Trades,Services,,,Services,"Services, and",Environment,Other,,and Social,Entertainment,Organization
,,and Fishery,,,Gas and Water,,,Software,,,,,,Geological,and Public,Services,,Welfare,,
,,,,,,,,,,,,,,Prospecting,Facilities,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
2004,11098.9,466.1,500.7,3050.8,300.6,841,631.8,123.7,586.7,177.1,356,133.4,194.4,222.1,176.1,54.2,1466.8,494.7,123.4,1199
2005,11404,446.3,509.2,3210.9,299.9,926.6,613.9,130.1,544,181.2,359.3,146.5,218.5,227.7,180.4,53.9,1483.2,508.9,122.5,1240.8
2006,11713.2,435.2,529.7,3351.6,302.5,988.7,612.7,138.2,515.7,183.9,367.4,153.9,236.7,235.5,187,56.6,1504.4,525.4,122.4,1265.6
2007,12024.4,426.3,535,3465.4,303.4,1050.8,623.1,150.2,506.9,185.8,389.7,166.5,247.2,243.4,193.5,57.4,1520.9,542.8,125,1291.2
2008,12192.5,410.1,540.4,3434.3,306.5,1072.6,627.3,159.5,514.4,193.2,417.6,172.7,274.7,257,197.3,56.5,1534,563.6,126,1335
2009,12573,373.7,553.7,3491.9,307.7,1177.5,634.4,173.8,520.8,202.1,449,190.9,290.5,272.6,205.7,58.8,1550.4,595.8,129.5,1394.3
2010,13051.5,375.7,562,3637.2,310.5,1267.5,631.1,185.8,535.1,209.2,470.1,211.6,310.1,292.3,218.9,60.2,1581.8,632.5,131.4,1428.5
,,,,,,,,,,,,,,,,,,,,
Beijing,646.6,3.2,4.5,100.6,6.8,39.4,51,41.7,55.4,28,27.2,31.5,77.8,45.7,8.8,7.4,40.6,20.7,15.3,41.1
Tianjin,205.7,0.7,9,75.3,3.3,10.2,12.5,2.2,12.4,4.8,7,3.6,6.9,6.5,3.5,6.9,16.4,9,1.8,13.7
Hebei,519.6,6.6,27.8,119.7,19.9,36.5,25.1,6.3,22.5,4.5,24.2,4.2,4.9,8.9,10.1,2,86.3,27.8,5,77.2
Shanxi,394.4,3.2,79.6,71.7,9.9,22.5,20.4,4.1,17.6,4.2,13.8,2.6,6.4,6,6.4,0.7,48.6,16.1,4.6,55.9
Inner Mongolia,249.2,26.7,18.5,37.2,10.1,13.6,16.3,3.9,6.7,2.4,10.1,1.5,2.8,4.3,7.3,2,34.7,12.3,3.3,35.3
,,,,,,,,,,,,,,,,,,,,
Liaoning,518.1,27.9,35.2,144.8,16.6,31.2,30.2,7,16.9,6.4,20.7,8.8,12.2,12,12.8,2.9,52.3,25.6,5.1,49.5
Jilin,267.6,16.7,15.6,60.8,8.2,13.4,14.5,5.2,8.9,3,10.2,3.6,4.5,6.7,8.1,1.1,36.7,15.3,3.7,31.4
Heilongjiang,460,92.9,42.2,66.8,14.3,27,25.2,5.6,17.7,3.7,14.2,4.9,5.9,12,9.7,6.5,46.1,19.7,3.9,41.6
,,,,,,,,,,,,,,,,,,,,
Shanghai,392.9,1.5,0.1,141.3,5.4,11.3,36.3,6.7,26.4,11.7,23.6,11.2,18.6,23.2,5.9,3.3,26.1,16.7,4.7,18.7
Jiangsu,763.8,9.9,12.6,335.5,12.9,52.3,31.2,8.7,29,10.6,26.9,7.3,12,10.9,12.3,1,85.5,36.3,5.7,63.1
Zhejiang,883.6,1.4,1.7,351.7,12.6,180.2,25.2,11.2,31,15.6,29.4,13.6,26,14,10.9,1.6,61.1,32.4,6.2,57.5
Anhui,372.9,6.1,32.1,76,9.6,42.1,15.1,3.8,14,3.7,14.7,4.9,4.6,6.7,6.4,0.5,60.5,22,3.4,46.7
Fujian,507.1,6.7,4.8,241.2,9.2,62.4,16.7,4.6,13.9,7.6,12.9,9,12.3,5.4,4.4,1.4,44.7,15.7,3.7,30.4
Jiangxi,297.4,12.1,9,71.6,9.5,29.4,15.3,3.3,7.9,1.6,10.5,2.1,2.9,5.1,5.6,0.5,47.6,16.8,3.2,43.5
Shandong,956.2,5.1,66.8,346.4,20.4,80.3,34.7,6.6,38.2,11,33.2,11.4,11.9,11,11.6,3.5,109.1,43.5,6.7,105
,,,,,,,,,,,,,,,,,,,,
