4-9 Age Composition and Dependency Ratio of Population by Region (2004),,,,,,,
,,,,,,,
Data in this table are obtained from the Sample Survey on Population Changes in 2004. The sampling fraction is 0.966‰.,,,,,,,
Region,,,,,Gross,,
,Population,Age 0-14,Age 15-64,Age 65,Dependency,Children,Old People
,(person),,,and Over,Ratio,Dependency,Dependency
,,,,,,Ratio,Ratio
,,,,,,,
National Total,1253065,241866,903897,107303,38.63,26.76,11.87
,,,,,,,
Beijing,14213,1415,11217,1581,26.71,12.62,14.10
Tianjin,9868,1294,7510,1065,31.40,17.23,14.18
Hebei,66078,11531,49270,5277,34.11,23.40,10.71
Shanxi,32352,6852,23218,2282,39.34,29.51,9.83
Inner Mongolia,23233,3976,17520,1736,32.61,22.70,9.91
,,,,,,,
Liaoning,41100,5715,31497,3888,30.49,18.14,12.34
Jilin,26397,3667,20762,1968,27.14,17.66,9.48
Heilongjiang,37241,5413,29297,2531,27.11,18.48,8.64
,,,,,,,
Shanghai,16702,1469,12661,2572,31.92,11.60,20.31
Jiangsu,72295,11803,52739,7753,37.08,22.38,14.70
Zhejiang,45682,7131,34082,4469,34.04,20.92,13.11
Anhui,62575,13575,43670,5330,43.29,31.09,12.21
Fujian,34048,6560,24591,2897,38.46,26.67,11.78
Jiangxi,41524,8963,29229,3333,42.07,30.67,11.40
Shandong,89072,15256,65608,8209,35.77,23.25,12.51
,,,,,,,
Henan,94372,20033,66664,7675,41.56,30.05,11.51
Hubei,58510,11276,42442,4792,37.86,26.57,11.29
Hunan,65041,12055,47274,5712,37.58,25.50,12.08
Guangdong,77645,19528,51973,6144,49.39,37.57,11.82
Guangxi,47408,9935,33475,3997,41.62,29.68,11.94
Hainan,7916,1892,5429,595,45.81,34.85,10.96
,,,,,,,
Chongqing,30553,6377,20678,3498,47.75,30.84,16.92
Sichuan,84919,16666,60815,7438,39.63,27.40,12.23
Guizhou,37780,9640,25293,2847,49.37,38.11,11.25
Yunnan,42720,9601,29818,3300,43.27,32.20,11.07
Tibet,2636,653,1813,169,45.38,36.03,9.35
,,,,,,,
Shaanxi,36022,7135,26131,2756,37.85,27.31,10.55
Gansu,25409,5611,18118,1679,40.24,30.97,9.27
Qinghai,5213,1216,3691,307,41.26,32.94,8.32
Ningxia,5662,1462,3879,321,45.97,37.70,8.28
Xinjiang,18880,4167,13531,1182,39.53,30.79,8.74
