4-10 Age Composition and Dependency Ratio of Population by Region (2006),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Data in this table are obtained from the 2006 National Sample Survey on Population Changes. The sampling fraction is 0.907‰.,,,,,,,
,,,,,,,
Region,,,,,Gross,,
,Population,,,,Dependency,Children,Old
,(person),Aged 0-14,Aged 15-64,Aged 65,Ratio,Dependency,Dependency
,,,,and Over,(%),Ratio,Ratio
,,,,,,,
National Total,1192666,220280,862690,109696,38.25,25.53,12.72
,,,,,,,
Beijing,14294,1426,11263,1605,26.91,12.66,14.25
Tianjin,9694,1171,7500,1023,29.25,15.62,13.63
Hebei,63675,10583,47687,5405,33.53,22.19,11.33
Shanxi,31182,6264,22741,2178,37.12,27.54,9.58
Inner Mongolia,22180,3598,16853,1728,31.61,21.35,10.26
,,,,,,,
Liaoning,39231,4915,30162,4155,30.07,16.29,13.77
Jilin,25243,3312,19846,2084,27.19,16.69,10.50
Heilongjiang,35504,4972,27667,2864,28.32,17.97,10.35
,,,,,,,
Shanghai,16525,1338,12805,2382,29.05,10.45,18.60
Jiangsu,69474,10400,51392,7683,35.19,20.24,14.95
Zhejiang,45523,6826,34128,4569,33.39,20.00,13.39
Anhui,56880,12135,38938,5807,46.08,31.16,14.91
Fujian,32855,5896,23886,3073,37.55,24.68,12.87
Jiangxi,40069,9826,26841,3403,49.29,36.61,12.68
Shandong,85953,13132,64611,8211,33.03,20.32,12.71
,,,,,,,
Henan,87180,18224,61929,7027,40.77,29.43,11.35
Hubei,53070,9011,38862,5197,36.56,23.19,13.37
Hunan,58795,10588,42001,6206,39.98,25.21,14.78
Guangdong,85451,17285,62093,6073,37.62,27.84,9.78
Guangxi,43311,9629,29789,3892,45.39,32.32,13.07
Hainan,7696,1709,5321,666,44.62,32.11,12.51
,,,,,,,
Chongqing,26005,5059,17969,2977,44.72,28.16,16.57
Sichuan,76324,15181,52518,8625,45.33,28.91,16.42
Guizhou,34666,9459,22413,2794,54.67,42.20,12.47
Yunnan,41359,9387,28860,3112,43.31,32.53,10.78
Tibet,2574,631,1779,165,44.69,35.45,9.25
,,,,,,,
Shaanxi,34574,6392,25097,3086,37.76,25.47,12.30
Gansu,24109,5251,17076,1782,41.18,30.75,10.44
Qinghai,5049,1140,3556,352,41.96,32.07,9.89
Ningxia,5539,1336,3874,330,42.99,34.49,8.51
Xinjiang,18681,4206,13233,1242,41.17,31.79,9.39
