,,,,,,,
3-10 Age Composition and Dependency Ratio of Population by Region (2007),,,,,,,
,,,,,,,
Data in this table are obtained from the 2007 National Sample Survey on Population Changes. The sampling fraction is 0.900‰.,,,,,,,
Region,,,,,,,
,,,,,,,
,Population,Aged 0-14,Aged 15-64,Aged 65,Gross,,
,(person),,,and Over,Dependency,Children,Old
,,,,,Ratio,Dependency,Dependency
,,,,,(%),Ratio,Ratio
,,,,,,,
National Total,1188739,212476,865052,111212,37.42,24.56,12.86
,,,,,,,
Beijing,14554,1401,11669,1484,24.72,12.01,12.72
Tianjin,9896,1123,7699,1074,28.54,14.59,13.95
Hebei,63501,10639,47235,5626,34.44,22.52,11.91
Shanxi,31069,6068,22733,2268,36.67,26.69,9.98
Inner Mongolia,22066,3462,16802,1802,31.33,20.61,10.73
,,,,,,,
Liaoning,39317,4984,30152,4181,30.40,16.53,13.87
Jilin,25067,3286,19573,2208,28.07,16.79,11.28
Heilongjiang,35193,4630,27417,3147,28.36,16.89,11.48
,,,,,,,
Shanghai,16708,1331,12997,2381,28.56,10.24,18.32
Jiangsu,69503,9911,51841,7751,34.07,19.12,14.95
Zhejiang,45844,6721,34249,4874,33.86,19.62,14.23
Anhui,56247,11738,38600,5908,45.72,30.41,15.31
Fujian,32754,5767,23686,3301,38.28,24.35,13.94
Jiangxi,39945,9047,27323,3574,46.19,33.11,13.08
Shandong,85696,13206,64140,8350,33.61,20.59,13.02
,,,,,,,
Henan,86460,17613,62300,6546,38.78,28.27,10.51
Hubei,52408,8230,38998,5179,34.39,21.10,13.28
Hunan,58382,9796,42556,6031,37.19,23.02,14.17
Guangdong,85649,16386,62959,6305,36.04,26.03,10.01
Guangxi,43442,9517,29934,3991,45.12,31.79,13.33
Hainan,7696,1643,5371,682,43.29,30.59,12.70
,,,,,,,
Chongqing,25850,4892,17937,3020,44.11,27.27,16.84
Sichuan,75201,14392,52547,8261,43.11,27.39,15.72
Guizhou,34587,9416,22302,2870,55.09,42.22,12.87
Yunnan,41269,9297,28898,3074,42.81,32.17,10.64
Tibet,2587,562,1853,172,39.57,30.31,9.26
,,,,,,,
Shaanxi,34383,5968,25101,3313,36.98,23.78,13.20
Gansu,23990,4967,17146,1877,39.92,28.97,10.94
Qinghai,5045,1131,3584,329,40.74,31.55,9.19
Ningxia,5560,1305,3908,347,42.26,33.39,8.88
Xinjiang,18872,4047,13540,1285,39.38,29.89,9.49
