,,,,,,,
3-11 Age Composition and Dependency Ratio of Population by Region (2011),,,,,,,
,,,,,,,
Data in this table are obtained from the 2011 National Sample Survey on Population Changes. The sampling fraction is 0.850‰.,,,,,,,
,,,,,,,
Region,,,,,,,
,Population,Aged 0-14,Aged 15-64,Aged 65,Gross,,
,(person),,,and Over,Dependency,Children,Old
,,,,,Ratio,Dependency,Dependency
,,,,,(%),Ratio,Ratio
,,,,,,,
National Total,1145209,188590,852078,104541,34.40,22.13,12.27
,,,,,,,
Beijing,17246,1510,14216,1521,21.31,10.62,10.70
Tianjin,11577,1233,9213,1131,25.66,13.39,12.27
Hebei,61861,10890,45918,5053,34.72,23.72,11.00
Shanxi,30698,4961,23353,2384,31.45,21.24,10.21
Inner Mongolia,21203,2900,16842,1461,25.89,17.22,8.67
,,,,,,,
Liaoning,37447,4254,29159,4034,28.42,14.59,13.84
Jilin,23490,2989,18458,2044,27.27,16.19,11.07
Heilongjiang,32757,3845,26293,2618,24.58,14.62,9.96
,,,,,,,
Shanghai,20056,1662,16816,1579,19.27,9.88,9.39
Jiangsu,67485,8765,51421,7300,31.24,17.05,14.20
Zhejiang,46674,5885,36790,3999,26.87,16.00,10.87
Anhui,50989,9187,36459,5342,39.85,25.20,14.65
Fujian,31783,5009,24335,2438,30.60,20.58,10.02
Jiangxi,38348,8234,27191,2923,41.03,30.28,10.75
Shandong,82336,12785,60696,8854,35.65,21.06,14.59
,,,,,,,
Henan,80208,16632,56519,7057,41.91,29.43,12.49
Hubei,49190,7037,37180,4974,32.30,18.93,13.38
Hunan,56351,10087,40358,5906,39.63,24.99,14.63
Guangdong,89750,15466,68401,5884,31.21,22.61,8.60
Guangxi,39686,8716,27183,3786,45.99,32.07,13.93
Hainan,7496,1493,5487,516,36.61,27.21,9.40
,,,,,,,
Chongqing,24939,4001,17841,3097,39.78,22.42,17.36
Sichuan,68777,11141,49359,8277,39.34,22.57,16.77
Guizhou,29636,7161,19776,2698,49.85,36.21,13.64
Yunnan,39564,7744,28780,3041,37.47,26.91,10.56
Tibet,2591,598,1868,125,38.70,32.00,6.71
,,,,,,,
Shaanxi,31976,4803,24457,2715,30.74,19.64,11.10
Gansu,21908,3697,16260,1951,34.74,22.74,12.00
Qinghai,4854,998,3568,288,36.04,27.98,08.06
Ningxia,5463,1143,4021,299,35.87,28.43,7.44
Xinjiang,18871,3764,13860,1247,36.15,27.16,9.00
