5-5 Number of Employed Persons at the Year-end by Sector,,,,,,,,,,,,,,,,,
(10 000 persons),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,8,7,6,6,6,9,7,7,8,9,9
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,"Transport,",,,,,,,,,
Year,,,,,,,,"Storage,",Wholesale,Banking,Real,Social,Health,"Education,",Scientific,Government,Others
Region,,"Farming,",Mining and,Manufac-,Production,Construc-,Geological,Post &,and Retail,and,Estate,Services,"Care,",Culture and,Research,"Agencies,",
,,"Forestry,",Quarrying,turing,and Supply of,tion,Prospecting,Telecommu-,Trade,Insurance,Trade,,Sports &,"Art, Radio,",and,Party,
,Total,Animal,,,Electricity,,and Water,nications,& Catering,,,,Social,Film and,Polytech-,Agencies,
,,Husbandry,,,Gas and,,Conservancy,,Services,,,,Welfare,Television,nical,and  Social,
,,and Fishery,,,Water,,,,,,,,,,Services,Organizations,
,,,,,,,,,,,,,,,,,
1978,40152,28318,652,5332,107,854,178,750,1140,76,31,179,363,1093,92,467,521
1980,42361,29122,697,5899,118,993,188,805,1363,99,37,276,389,1147,113,527,588
1985,49873,31130,795,7412,142,2035,197,1279,2306,138,36,401,467,1273,144,799,1319
,         ,            ,          ,           ,              ,          ,              ,           ,          ,         ,          ,        ,          ,            ,          ,             ,       
1986,51282,31254,809,8019,152,2236,197,1376,2413,152,38,466,482,1324,152,873,1338
1987,52783,31663,819,8359,164,2384,200,1453,2576,170,39,501,496,1375,158,925,1502
1988,54334,32249,832,8652,177,2491,204,1521,2743,194,42,534,508,1403,161,971,1655
1989,55329,33225,842,8547,180,2407,199,1522,2770,205,43,550,518,1426,165,1022,1709
1990,63909,34117,882,8624,192,2424,197,1566,2839,218,44,594,536,1457,173,1079,1798
,         ,            ,          ,           ,              ,          ,              ,           ,          ,         ,          ,        ,          ,             ,          ,             ,       
1991,64799,34956,905,8839,203,2482,199,1617,2998,234,48,604,553,1497,179,1136,1910
1992,65554,34795,898,9106,215,2660,202,1674,3209,248,54,643,565,1520,183,1148,2313
1993,66373,33966,932,9295,240,3050,144,1688,3459,270,66,543,416,1210,173,1030,3740
1994,67199,33386,915,9613,246,3188,139,1864,3921,264,74,626,434,1436,178,1033,4155
1995,67947,33018,932,9803,258,3322,135,1942,4292,276,80,703,444,1476,182,1042,4484
,         ,            ,          ,           ,              ,          ,              ,           ,          ,         ,          ,        ,          ,            ,          ,             ,       
1996,68850,32910,902,9763,273,3408,129,2013,4511,292,84,747,458,1513,183,1093,4563
1997,69600,33095,868,9612,283,3449,129,2062,4795,308,87,810,471,1557,186,1093,4862
1998,69957,33232,721,8319,283,3327,116,2000,4645,314,94,868,478,1573,178,1097,5118
1999,70586,33493,667,8109,285,3412,111,2022,4751,328,96,923,482,1568,173,1102,4969
,,,,,,,,,,,,,,,,,
Beijing,621.9,74.3,2.9,139.3,4.2,62.9,1.7,32.1,79.6,7.4,10.4,60.5,13.5,42.6,28.8,30.1,31.7
Tianjin,421.1,82.6,8.8,133.4,3.9,25.7,1.9,25.7,55.6,4.1,2.5,16.6,7.2,19.9,4.7,12.2,16.4
Hebei,3399.9,1653.3,36.4,586.2,14.7,239,8.3,131,280,16.5,2.3,38.2,20.7,86.1,4.9,63.6,218.7
Shanxi,1434.3,659.1,57.3,220.1,10.9,75.2,3.3,81,120.2,10,1.2,19,13.5,47.5,4.2,41.7,70.1
Inner Mongolia,1017,555.4,30.7,94.6,8.5,38.6,3.2,40.5,90.5,7.7,1.6,22.5,10.6,36.8,3,29.7,43
,,,,,,,,,,,,,,,,,
Liaoning,1796.4,675.6,37.6,333.5,18.5,102.3,7,93.9,218.3,17.5,7.9,57.9,23.3,59.5,8.9,40.3,94.4
Jilin,1102.8,544.4,36.4,135,8.4,43.6,2.9,48.8,113.4,9.6,3.5,27.7,14.4,42.6,4.9,25.3,41.9
Heilongjiang,1679.9,812.5,90.6,200.5,14.6,70.2,6.8,69.1,172.3,12.5,5.3,48.9,18.3,52.5,5.4,39.5,61
,,,,,,,,,,,,,,,,,
Shanghai,677.3,93.5,0.1,262.8,5.8,31.1,0.9,32.1,85.1,9.4,7.5,38.2,15.6,32.2,9.2,15.3,38.5
Jiangsu,3595.8,1529,20.5,756.4,13,285.2,5.6,143.6,279.5,17.4,6.2,46.1,29.8,86.2,8.1,45.6,323.6
Zhejiang,2660.9,1080.1,3.2,627.6,9,150.1,1.8,94.2,242.3,15.7,3.9,38.5,20.7,50.3,4.5,34.6,284.4
Anhui,3312.5,2007.5,31.2,291.4,8.3,178.9,4.8,90.7,237.3,10.3,2.3,38.9,16.3,60.8,3.8,39.9,290.1
Fujian,1630.9,789.9,5.9,277.4,7.2,100,1.5,55.6,126.4,9.7,2.9,23,11.2,46.8,2.9,28.4,141.9
Jiangxi,1961.3,1082.6,15.4,192.5,9.3,75.5,3.1,46,119.8,8.8,1.7,18.9,12.9,46.7,3.4,34.9,289.7
Shandong,4698.6,2485.9,65.8,691.3,19.6,324.4,4.8,154,375.4,21.9,4.5,53.5,32.9,111.2,6.3,76.5,270.5
,,,,,,,,,,,,,,,,,
