,,,,,,,,,,,,,,,,,,,,
5-5  Number of Employed Persons in Urban Units at the Year-end by Sector and Region,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,(10 000 persons),
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
,,,,,,,,,,,,,,Scientific,Management of,Services to ,Education," Health,","Culture,", Public
Year,Total,"Agriculture,",Mining,Manufacturing,Production,Construction,"Transport,",Information , Wholesale,Hotel,Financial ,Real Estate,Leasing,"Research,",Water,Households ,,Social , Sports,Management
,,"Forestry,",,,and ,,Storage," Transmission,",and ,and ,Intermediation,,and,Technical," Conservancy,",and,,Securities, and , and Social
Region,,Animal,,, Distribution,,and Post,Computer,Retail Trade,Restaurants,,,Business,"Services, and",Environment,Other ,, and Social,Entertainment,Organization
,,Husbandry,,,"of Electricity,",,,Service and,,,,,Services,Geological ,and Public ,Services,,Welfare,,
,,and Fishing,,,Gas and Water,,,Software,,,,,,Prospecting,Facilities ,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
2004,11098.9,466.1,500.7,3050.8,300.6,841,631.8,123.7,586.7,177.1,356,133.4,194.4,222.1,176.1,54.2,1466.8,494.7,123.4,1199
,,,,,,,,,,,,,,,,,,,,
Beijing,502.8,3,2.2,105.1,6.3,41.3,36.1,18.1,42.2,25.4,15.4,22.8,42.6,29.6,6.8,10.9,37.1,15.5,13.5,29
Tianjin,193.9,0.9,7.7,76.8,3.1,9.3,13.3,1.9,11.7,3.3,5.1,2.6,5.1,5.2,4,4.8,16.5,7.6,2,13.3
Hebei,494.1,8.6,27.9,121.5,17.1,33.6,25.6,4.7,28.6,5,17.7,2.9,4,7.6,8.5,2.3,83.3,22.4,4.8,67.9
Shanxi,362,4,63.7,74.1,11.6,20,21.6,3.5,23.6,3.6,11.5,1.4,4,5.6,5,3.1,45.7,13.8,4.4,41.8
Inner Mongolia,243.1,30.6,17,43.7,9.1,12.5,16.6,2.7,8.1,2.7,7.7,1.6,2.8,4.1,5.8,0.9,32.7,10.4,3.1,30.9
,,,,,,,,,,,,,,,,,,,,
Liaoning,502.6,28.9,31.1,150.5,17.1,30.9,33.2,5.1,18.2,6.3,18.3,6.3,9.7,9.4,10.7,2.1,51.8,21.2,5.2,46.5
Jilin,284.8,21,14.9,66.4,8,15.5,24.5,2.8,15.2,3.2,9.3,2.9,3.9,6.3,6.4,1,36.7,14,4.2,28.6
Heilongjiang,506.2,89.4,42.8,108.7,15.5,38,31.2,4.4,27.9,3.9,11.3,4.5,4.9,9,7.5,5,42.9,16.5,3.8,39.1
,,,,,,,,,,,,,,,,,,,,
Shanghai,331.1,1.7,0.1,120.2,5.6,13,34.3,4,25.7,8.5,13.5,8.5,14.2,11.3,5,3.8,25.3,14.9,4.6,17.1
Jiangsu,606.8,16.5,15,231.5,13.8,24.3,33.3,6,31.7,8.4,22.9,6.3,8.2,8.8,9.8,1.5,80.5,29.3,5.1,53.7
Zhejiang,456.6,2.4,1.7,154.2,9.5,69.6,19.4,4.9,19.7,9.2,18.7,5.5,10.9,6.9,5.5,0.9,50.4,23,4.7,39.2
Anhui,341.4,10.6,30.4,70.9,9.1,26.9,17.1,2.9,20,3.4,11.9,3.1,3.6,5.1,5.9,1.2,56.4,17.3,3.5,42.1
Fujian,377.7,7.5,4,183.2,8.2,27.3,15.1,3.6,11.4,4.7,9.6,4.4,4.2,3.8,3.7,1.3,42.3,11.8,3.2,28.6
Jiangxi,271.4,16.1,8.8,62.7,9.3,20.5,16.6,2.7,11.4,2.2,8.9,2.4,1.7,5.2,4.6,0.7,44.7,13.5,3.2,36.2
Shandong,792.1,8.8,60.7,281.8,21,43.7,30.7,5.6,39,8.8,25.1,5.3,8.2,7.4,10.8,1.2,105.7,34.7,5.9,87.7
