,,,,,,,,,,,,,,,,,,,,
,(10 000 persons),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
Year,,,,,,,,,,,,,,,,,,,,
Region,Total,"Agriculture,",Mining,Manufacturing,Production,Construction,"Transport,",Information,Wholesale,Hotels,Financial,Real Estate,Leasing,Scientific,Management,Services to,Education,"Health,","Culture,",Public
,,"Forestry,",,,and,,Storage,"Transmission,",and,and,Intermediation,,and,"Research,",of Water,Households,,Social,Sports,Management
,,Animal,,,Distribution,,and Post,Computer,Retail,Catering,,,Business,Technical,"Conservancy,",and,,Securities,and,and Social
,,Husbandry,,,"of Electricity,",,,Service and,Trades,Services,,,Services,"Services, and",Environment,Other,,and Social,Entertainment,Organization
,,and Fishery,,,Gas and Water,,,Software,,,,,,Geological,and Public,Services,,Welfare,,
,,,,,,,,,,,,,,Prospecting,Facilities,,,,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
2004,11098.9,466.1,500.7,3050.8,300.6,841,631.8,123.7,586.7,177.1,356,133.4,194.4,222.1,176.1,54.2,1466.8,494.7,123.4,1199
2005,11404,446.3,509.2,3210.9,299.9,926.6,613.9,130.1,544,181.2,359.3,146.5,218.5,227.7,180.4,53.9,1483.2,508.9,122.5,1240.8
2006,11713.2,435.2,529.7,3351.6,302.5,988.7,612.7,138.2,515.7,183.9,367.4,153.9,236.7,235.5,187,56.6,1504.4,525.4,122.4,1265.6
2007,12024.4,426.3,535,3465.4,303.4,1050.8,623.1,150.2,506.9,185.8,389.7,166.5,247.2,243.4,193.5,57.4,1520.9,542.8,125,1291.2
2008,12192.5,410.1,540.4,3434.3,306.5,1072.6,627.3,159.5,514.4,193.2,417.6,172.7,274.7,257,197.3,56.5,1534,563.6,126,1335
2009,12573,373.7,553.7,3491.9,307.7,1177.5,634.4,173.8,520.8,202.1,449,190.9,290.5,272.6,205.7,58.8,1550.4,595.8,129.5,1394.3
2010,13051.5,375.7,562,3637.2,310.5,1267.5,631.1,185.8,535.1,209.2,470.1,211.6,310.1,292.3,218.9,60.2,1581.8,632.5,131.4,1428.5
2011,14413.3,359.5,611.6,4088.3,334.7,1724.8,662.8,212.8,647.5,242.7,505.3,248.6,286.6,298.5,230.3,59.9,1617.8,679.1,135,1467.6
,,,,,,,,,,,,,,,,,,,,
Beijing,685.9,2.4,6.7,107.8,9,42.5,57.4,49.1,63.6,29.2,32.9,35.1,58.7,50.6,9,7.3,42.6,22.4,16.5,43.1
Tianjin,268.2,0.6,10.4,112.7,4.2,30.6,11.4,2.1,14.7,6.7,7.7,4.2,6.4,5.3,3.4,6.8,16.5,8.9,1.6,14.1
Hebei,555.4,5.7,28.4,130.6,20.2,50.6,24.4,5.9,23.5,5.3,23.8,4.9,5.1,10,10.1,2.1,88.8,30,5.1,81
