3-9 Gross Domestic Product by Region (2000),,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute figures in this table are calculated at current prices while indices are calculated at comparable prices.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,(100 million yuan),
,Gross,,,,,,,,,,,,,,,,,,Composition,,,Indices 1999=100,,,,Per
,Domestic,Primary,Secondary,,,Tertiary,,,,,,,,,,,,,,,,,,,,Capita
,Product,Industry,Industry,Industry,Construction,Industry,"Farming,",Geological,"Transport,",,,,,,,,Government,Others,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary,GDP
,,,,,,,"Forestry, Animal",Prospecting,"Storage,","Wholesale,",Finance,Real,Social,Health,"Education,",Scientific,"Agencies,",,Industry,Industry,Industry,Domestic,Industry,Industry,Industry,(yuan)
Region,,,,,,,Husbandry and,and Water,Post and,Retail,and,Estate,Services,"Care,","Culture,",Research,Party Agencies,,,,,Product,,,,
,,,,,,,Fishery Services,Conservancy,Telecom-,Trade and,Insurance,,,Sports and,"Arts, Radio,",and,and Social,,,,,,,,,
,,,,,,,,,munication,Catering,,,,Social,Film and,Polytechnic,Organizations,,,,,,,,,
,,,,,,,,,Services,Services,,,,Welfare,Television,Services,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2478.76,89.97,943.51,745.32,198.19,1445.28,2.25,5.33,190.12,218.54,378.89,77.37,191.18,43.19,148.42,102.87,70.01,17.11,3.6,38.1,58.3,111.0,104.0,111.4,111.1,22460
Tianjin,1639.36,73.54,820.17,747.28,72.89,745.65,1.68,9.17,178.83,158.56,55.80,69.35,104.98,29.08,61.90,25.54,46.27,4.49,4.5,50.0,45.5,110.8,103.7,111.5,110.5,17993
