,,,,,,,,,,,,,,,,,,,
3-11 Gross Regional Product (2004),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Absolute figures in this table are calculated at current prices while indices are calculated at comparable prices.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(100 million yuan),
Region,,,,,,,,,,,,Composition (%),,,Indices (preceding year=100),,,,
,Gross,,,,,,,,,,,,,,,,,,
,Regional,Primary,Secondary,Industry,Construction,Tertiary,"Transport,",,,,,,,,,,,,Per Capita
,Product,Industry,Industry,,,Industry,"Storage,","Wholesale,",Finance,Real,Others,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary,Gross
,,,,,,,Post and,Retail,and,Estate,,Industry,Industry,Industry,Regional,Industry,Industry,Industry,Regional
,,,,,,,Telecom-,Trade and,Insurance,,,,,,Product,,,,Product
,,,,,,,munication,Catering,,,,,,,,,,,(yuan/person)
,,,,,,,Services,Services,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Beijing,4283.31,102.9,1610.37,1290.16,320.21,2570.04,283.09,305.03,598.57,228.44,1154.91,2.4,37.6,60,113.2,101.9,116.7,111.6,37058
Tianjin,2931.88,102.29,1560.16,1436.73,123.43,1269.43,285.05,242.07,129.72,146.51,466.08,3.5,53.2,43.3,115.7,105.1,119.8,111.7,31550
Hebei,8768.79,1370.4,4635.23,4086.43,548.8,2763.16,724.34,689.24,231.59,154.38,963.61,15.6,52.9,31.5,112.5,106.7,114.2,112.5,12918
Shanxi,3042.41,253.37,1810.08,1568.47,241.61,978.96,235.77,201.24,80.55,42.28,419.12,8.3,59.5,32.2,114.1,104.5,116.8,112.7,9150
Inner Mongolia,2712.08,506.07,1332.47,1015.66,316.81,873.53,242.96,203.36,30.57,27.78,368.86,18.7,49.1,32.2,119.4,111.7,127.5,113.4,11305
,,,,,,,,,,,,,,,,,,,
Liaoning,6872.65,769.9,3278.88,2832.99,445.9,2823.87,613.03,896,159.71,206.13,948.99,11.2,47.7,41.1,112.8,107.9,116,110.7,16297
