3-13 Gross Regional Product (2006),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Level in this table are calculated at current prices while indices are calculated at constant prices.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(100 million yuan)
Region,Gross,,,,,,,,,,,,Composition (GRP=100),,,Indices (preceding year=100),,,,"Per Capita Gross 
Regional Product (yuan)"
,Regional,Primary,Secondary,,,Tertiary,,,,,,,,,,,,,,
,Product,Industry,Industry,Industry,Construction,Industry,"Transport,",Wholesale and,Hotels and,Financial,Real Estate,Other Services,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary,
,,,,,,,Storage and Post,Retail Trades,Catering Services,Intermediation,,,Industry,Industry,Industry,Regional Product,Industry,Industry,Industry,
,,,,,,,,,,,,,,,,,,,,
Beijing,7870.28,98.04,2191.43,1821.86,369.57,5580.81,458.29,751.91,219.61,974.06,559.82,2617.12,1.3,27.8,70.9,112.8,100.6,110.5,114.1,50467
Tianjin,4359.15,118.23,2488.29,2292.73,195.56,1752.63,252.86,468.12,79.41,186.87,160.72,604.65,2.7,57.1,40.2,114.5,103.3,117.7,111.1,41163
Hebei,11660.43,1606.48,6115.01,5490.54,624.47,3938.94,971.5,661.21,121.96,279.72,354.6,1549.95,13.8,52.4,33.8,113.4,105,115.1,114.3,16962
Shanxi,4752.54,276.77,2748.33,2485.06,263.27,1727.44,383.38,295.61,112.95,138.26,118.06,679.18,5.8,57.8,36.4,111.8,105.1,115.4,107.6,14123
Inner Mongolia,4791.48,649.62,2327.44,1978.19,349.24,1814.42,426.16,390.9,170.03,87.81,122.32,617.2,13.6,48.6,37.8,118.7,105.6,125.7,115.8,20053
,,,,,,,,,,,,,,,,,,,,
Liaoning,9251.15,976.37,4729.5,4175.33,554.17,3545.28,565.67,952.66,202.99,250.13,294.7,1279.13,10.6,51.1,38.3,113.8,106.9,118.6,110,21788
Jilin,4275.12,672.76,1915.29,1659.29,256,1687.07,236.82,402.37,97.39,100.75,131.01,718.73,15.7,44.8,39.5,115,104.2,117,117.4,15720
Heilongjiang,6188.9,737.59,3365.31,3049.04,316.27,2086,325.08,460.9,116,67.74,195.24,921.04,11.9,54.4,33.7,112.1,108.5,112.9,112.4,16195
,,,,,,,,,,,,,,,,,,,,
Shanghai,10366.37,93.8,5028.37,4670.11,358.26,5244.2,669.01,929.16,194.08,825.2,688.1,1938.65,0.9,48.5,50.6,112,100.8,112.3,112,57695
Jiangsu,21645.08,1545.01,12250.84,11110.24,1140.6,7849.23,928.41,2028.8,362.14,723.79,914.78,2891.31,7.1,56.6,36.3,114.9,105,116,115.5,28814
Zhejiang,15742.51,925.1,8509.57,7590.57,919,6307.85,630.94,1435.97,253.89,846.63,807.52,2332.9,5.9,54,40.1,113.9,103.2,114.3,115.2,31874
Anhui,6148.73,1028.66,2648.13,2190.18,457.95,2471.94,409.64,449.63,112.17,130.25,247.76,1122.5,16.7,43.1,40.2,112.8,106.4,117.3,110.9,10055
Fujian,7614.55,896.17,3743.71,3311.59,432.12,2974.67,537.11,667.79,127.7,229.65,415.1,997.32,11.8,49.1,39.1,114.8,102.5,117,116,21471
Jiangxi,4670.53,786.14,2320.74,1806.15,514.59,1563.65,306.14,326.58,76.43,76.13,171.06,607.31,16.8,49.7,33.5,112.3,106.5,116.3,109.9,10798
