2-15 Gross Regional Product by Three Strata of Industry (2009),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Level data in this table are calculated at current prices while indices at constant prices.,,,,,,,,,,,,,,,,,,,,
(100 million yuan),,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,Composition (GRP=100),,,Indices (preceding year=100),,,,
,Gross,,,,,,,,,,,,,,,,,,,Per Capita
,Regional,Primary,Secondary,,,Tertiary,"Transport,",Wholesale and,Hotels and,Financial,Real Estate,Others,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary,GRP
,Product,Industry,Industry,Industry,Construction,Industry,Storage and Post,Retail Trades,Catering,Intermediation,,,Industry,Industry,Industry,Regional,Industry,Industry,Industry,(yuan)
,,,,,,,,,Services,,,,,,,Product,,,,
,,,,,,,,,,,,,,,,,,,,
Beijing,12153.03,118.29,2855.55,2303.08,552.47,9179.19,556.64,1525.03,262.51,1603.63,1062.47,4168.91,1,23.5,75.5,110.2,104.6,110.4,110.2,70452
Tianjin,7521.85,128.85,3987.84,3622.11,365.73,3405.16,471.01,836.84,131.84,461.2,308.73,1195.54,1.7,53,45.3,116.5,103.4,118,115.2,62574
Hebei,17235.48,2207.34,8959.83,7983.86,975.97,6068.31,1491.92,1157.8,247.14,525.67,612.4,2033.38,12.8,52,35.2,110,103.3,110.5,111.4,24581
Shanxi,7358.31,477.59,3993.8,3518.88,474.92,2886.92,523.38,557.86,203.58,361.64,173.31,1067.15,6.5,54.3,39.2,105.4,104.2,101.9,110.5,21522
Inner Mongolia,9740.25,929.6,5114,4503.33,610.67,3696.65,773.29,915.89,294.73,291.1,286.65,1134.99,9.5,52.5,38,116.9,102.3,121.1,115,40282
,,,,,,,,,,,,,,,,,,,,
Liaoning,15212.49,1414.9,7906.34,6925.63,980.71,5891.25,790.56,1410.33,318.8,560.2,605.27,2206.09,9.3,52,38.7,113.1,103.1,115.6,112.1,35239
Jilin,7278.75,980.57,3541.92,3054.6,487.32,2756.26,341.76,673.12,157.73,180.83,200.14,1202.68,13.5,48.7,37.9,113.6,102.8,117.1,113,26595
Heilongjiang,8587,1154.33,4060.72,3549.73,510.99,3371.95,433.55,757.36,211,227.54,301.18,1441.32,13.4,47.3,39.3,111.4,105.2,113.1,110.7,22447
,,,,,,,,,,,,,,,,,,,,
Shanghai,15046.45,113.82,6001.78,5408.75,593.03,8930.85,635.01,2183.85,238.36,1804.28,1237.56,2831.79,0.8,39.9,59.4,108.2,98.9,103.5,112.2,78989
Jiangsu,34457.3,2261.86,18566.37,16464.94,2101.43,13629.07,1423.25,3579.81,678.36,1596.98,2025.39,4325.28,6.6,53.9,39.6,112.4,104.5,112.5,113.6,44744
Zhejiang,22990.35,1163.08,11908.49,10518.21,1390.28,9918.78,888.02,2119.39,416.84,1899.33,1316.83,3278.36,5.1,51.8,43.1,108.9,102.4,106.8,112.5,44641
Anhui,10062.82,1495.45,4905.22,4064.72,840.5,3662.15,467.92,733.19,157.14,359.6,497.94,1446.36,14.9,48.7,36.4,112.9,105,116.8,111,16408
Fujian,12236.53,1182.74,6005.3,5106.38,898.92,5048.49,751.42,1043.42,235.98,612.2,656.61,1748.86,9.7,49.1,41.3,112.3,104.7,113.7,112.3,33840
