,,,,,,,,,,,,,,,,,,,,
2-15 Gross Regional Product by Three Strata of Industry (2010),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Level data in this table are calculated at current prices while indices at constant prices.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,Composition (GRP=100),,,Indices (preceding year=100),,,,
,Gross,Primary,Secondary,,,,,,,,,,,,,,,,,
,Regional,Industry,Industry,,,Tertiary,"Transport,",Wholesale and,Hotels and,Financial,Real Estate,Others,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary,Per Capita
,Product,,,Industry,Construction,Industry,Storage and Post,Retail Trades,Catering,Intermediation,,,Industry,Industry,Industry,Regional,Industry,Industry,Industry,GRP
,,,,,,,,,Services,,,,,,,Product,,,,(yuan)
,,,,,,,,,,,,,,,,,,,,
Beijing,14113.58,124.36,3388.38,2763.99,624.39,10600.84,712.01,1888.51,317.34,1863.61,1006.52,4812.85,0.9,24,75.1,110.3,98.4,113.7,109.3,75943
Tianjin,9224.46,145.58,4840.23,4410.85,429.38,4238.65,585.37,1090.68,157.66,572.99,377.59,1454.36,1.6,52.5,46,117.4,103.3,120.2,114.2,72994
Hebei,20394.26,2562.81,10707.68,9554.03,1153.65,7123.77,1745.91,1529.26,265.02,615.42,697.79,2270.37,12.6,52.5,34.9,112.2,103.5,113.4,113.1,28668
Shanxi,9200.86,554.48,5234,4657.97,576.03,3412.38,654.08,695.51,231.62,448.3,192,1190.87,6,56.9,37.1,113.9,106.1,118.3,109.4,26283
Inner Mongolia,11672,1095.28,6367.69,5618.4,749.29,4209.02,875.61,1051.96,332.24,346.44,309.25,1293.52,9.4,54.6,36.1,115,106.1,118.2,112.4,47347
,,,,,,,,,,,,,,,,,,,,
Liaoning,18457.27,1631.08,9976.82,8789.27,1187.55,6849.37,926.81,1651.66,369.61,639.27,733.37,2528.65,8.8,54.1,37.1,114.2,105.8,116.8,112.5,42355
Jilin,8667.58,1050.15,4506.31,3929.31,577,3111.12,373.93,753.37,180.01,190.12,212.32,1401.37,12.1,52,35.9,113.8,103.7,118.8,110.7,31599
Heilongjiang,10368.6,1302.9,5204.11,4608.27,595.84,3861.59,469.31,880.83,240.13,288.19,370.79,1612.34,12.6,50.2,37.2,112.7,106.2,114.5,111.8,27076
,,,,,,,,,,,,,,,,,,,,
Shanghai,17165.98,114.15,7218.32,6536.21,682.11,9833.51,834.4,2594.34,266.45,1950.96,1002.5,3184.86,0.7,42.1,57.3,110.3,93.4,116.8,105.7,76074
Jiangsu,41425.48,2540.1,21753.93,19277.65,2476.28,17131.45,1768.3,4447.5,710.98,2105.92,2600.95,5497.8,6.1,52.5,41.4,112.7,104.9,113.1,113.3,52840
