2-15 Gross Regional Product by Three Strata of Industry (2011),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Level data in this table are calculated at current prices while indices at constant prices.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
(100 million yuan),,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,Composition (GRP=100),,,Indices (preceding year=100),,,,
,Gross,,,,,,,,,,,,,,,,,,,
,Regional,Primary,Secondary,Industry,Construction,Tertiary,"Transport,",Wholesale and,Hotels and,Financial,Real Estate,Others,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary,Per Capita
,Product,Industry,Industry,,,Industry,Storage and Post,Retail Trades,Catering,Intermediation,,,Industry,Industry,Industry,Regional,Industry,Industry,Industry,GRP
,,,,,,,,,Services,,,,,,,Product,,,,(yuan)
,,,,,,,,,,,,,,,,,,,,
Beijing,16251.93,136.27,3752.48,3048.79,703.69,12363.18,808.95,2139.65,348.42,2215.41,1074.93,5775.82,0.8,23.1,76.1,108.1,100.9,106.7,108.7,81658
Tianjin,11307.28,159.72,5928.32,5430.84,497.48,5219.24,632.1,1463.89,194.52,756.5,411.46,1760.77,1.4,52.4,46.2,116.4,103.8,118.3,114.7,85213
Hebei,24515.76,2905.73,13126.86,11770.38,1356.48,8483.17,2046.22,1780.63,338.91,746.01,918.02,2653.38,11.9,53.5,34.6,111.3,104.2,113.4,110.5,33969
Shanxi,11237.55,641.42,6635.26,5959.96,675.3,3960.87,756.29,846.65,261.33,519.32,224.91,1352.37,5.7,59,35.2,113,106.1,116.5,108.7,31357
Inner Mongolia,14359.88,1306.3,8037.69,7101.6,936.09,5015.89,1040.03,1216.6,381.64,447.46,384.76,1545.41,9.1,56,34.9,114.3,105.9,117.1,112.4,57974
,,,,,,,,,,,,,,,,,,,,
Liaoning,22226.7,1915.57,12152.15,10696.54,1455.61,8158.98,1143.17,1960.33,436.13,755.57,876.12,2987.66,8.6,54.7,36.7,112.2,106.5,114.1,111,50760
Jilin,10568.83,1277.44,5611.48,4917.95,693.53,3679.91,420.98,860.47,205.69,207.65,238.61,1746.51,12.1,53.1,34.8,113.8,105.1,117.7,111,38460
Heilongjiang,12582,1701.5,6330.53,5602.76,727.77,4549.97,543.81,1060.26,275.8,350.82,465.61,1853.67,13.5,50.3,36.2,112.3,106.2,113.2,113.2,32819
,,,,,,,,,,,,,,,,,,,,
Shanghai,19195.69,124.94,7927.89,7208.59,719.3,11142.86,868.31,3040.99,279.34,2277.4,1019.68,3657.14,0.7,41.3,58,108.2,99.3,106.3,109.6,82560
Jiangsu,49110.27,3064.77,25203.28,22280.61,2922.67,20842.21,2127.93,5341.39,919.13,2600.11,2747.89,7105.77,6.2,51.3,42.4,111,104,111.7,111.1,62290
Zhejiang,32318.85,1583.04,16555.58,14683.03,1872.55,14180.23,1206.95,3288.53,620.25,2730.29,1677.13,4657.08,4.9,51.2,43.9,109,103.6,109.2,109.5,59249
Anhui,15300.65,2015.31,8309.38,7062,1247.38,4975.95,589.82,1050.61,252.62,503.85,634.92,1944.15,13.2,54.3,32.5,113.5,104,118,110.6,25659
