3-9 GROSS DOMESTIC PRODUCT BY REGION (1998),,,,,,,,,,,,,,,,,,,,,,,,,
Absolute figures in this table are calculated at current prices while indices are calculated at comparable prices.,,,,,,,,,,,,,,,,,,,,,,,,,
Unit：100 million yuan,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Domestic Product,,,,,,,,,,,,,,,,,,Composition ％,,,Indices 1997=100,,,
Region,(100 million,Primary,Secondary,,,Tertiary,,,,,,,,,,,,,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary
,yuan),Industry,Industry,Industry,Construction,Industry,"Farming,",Geological,"Transportation,","Wholesale,",Banking,Real,Social,Health,"Education,",Scientific,Government,Others,Industry,Industry,Industry,Domestic,Industry,Industry,Industry
,,,,,,,"Forestry,",Prospecting,"Storage,Postal and",Retail,and,Estate,Services,"Care,","Culture,",Research,"Agencies,",,,,,Product,,,
,,,,,,,Animal and,and Water,Telecommunications,Trade and,Insurance,Trade,,Sports and,"Arts, Radio,",and,Party Agencies,,,,,,,,
,,,,,,,Fishery,Conservancy,Services,Catering,,,,Social,Film and,Polytechnical,and Social,,,,,,,,
,,,,,,,Services,,,Services,,,,Welfare,Television,Services,Organizations,,,,,,,,
Beijing,2011.31,86.56,786.85,610.66,176.19,1137.90,1.94,4.50,154.45,207.33,246.87,277.64,135.79,30.58,110.67,80.83,51.83,14.09,4.3,39.1,56.6,109.8,101.5,109.6,110.8
Tianjin,1336.38,74.03,660.00,587.83,72.17,602.35,0.33,6.49,133.16,127.29,120.17,114.88,81.21,14.05,35.70,16.00,27.10,2.93,5.5,49.4,45.1,109.3,106.7,107.4,113.0
Hebei,4256.01,790.60,2084.33,1822.05,262.28,1381.08,6.16,17.18,313.40,386.96,202.98,204.22,79.43,32.42,79.38,14.54,128.13,42.15,18.6,49.0,32.5,110.7,106.2,112.2,110.6
Shanxi,1601.11,207.26,856.13,745.47,110.66,537.72,5.35,9.30,123.80,122.94,101.59,96.84,34.67,13.99,37.28,5.93,63.91,3.12,12.9,53.5,33.6,109.0,110.5,110.2,106.4
Inner Mongolia,1192.29,341.62,479.53,399.42,80.11,371.14,3.78,4.26,106.05,95.49,27.58,22.75,34.24,14.06,28.20,4.69,35.72,9.51,28.7,40.2,31.1,109.6,106.2,110.0,112.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,3881.73,531.46,1855.22,1664.05,191.17,1495.05,11.17,8.17,271.96,533.15,164.40,123.78,187.70,58.63,90.52,31.71,84.05,11.61,13.7,47.8,38.5,108.3,113.0,107.6,107.9
Jilin,1557.78,429.50,597.29,504.12,93.17,530.99,2.84,3.61,109.37,130.80,52.49,62.26,38.15,21.82,44.53,25.78,48.49,14.22,27.6,38.3,34.1,109.0,113.3,107.6,108.0
Heilongjiang,2832.84,463.05,1506.76,1332.00,174.76,863.03,8.64,11.41,160.06,246.57,109.18,115.32,68.71,34.55,58.08,13.52,72.05,21.17,16.3,53.2,30.5,108.3,100.0,110.0,111.5
,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,3688.20,78.50,1847.20,1646.70,200.50,1762.50,3.64,6.67,244.42,412.04,459.63,512.21,160.45,43.51,89.93,48.55,48.63,07.05,2.1,50.1,47.8,110.1,102.2,108.2,114.3
Jiangsu,7199.95,1016.27,3640.10,3157.69,482.41,2543.58,30.89,19.08,435.77,724.85,376.04,381.81,210.39,71.82,150.64,23.74,188.28,19.65,14.1,50.6,35.3,111.0,102.1,112.0,112.9
Zhejiang,4987.50,631.31,2709.08,2445.43,263.65,1647.11,6.26,6.30,321.75,665.80,157.94,172.19,147.16,52.44,78.16,10.90,93.05,9.45,12.7,54.3,33.0,110.1,103.2,110.8,111.5
Anhui,2805.45,739.70,1253.53,1112.97,140.56,812.22,4.13,8.87,152.29,258.60,83.42,85.10,75.74,26.75,63.47,5.89,47.02,2.66,26.4,44.7,29.0,108.5,102.6,109.3,111.7
