3-9 Gross Domestic Product by Region (1999),,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute figures in this table are calculated at current prices while indices are calculated at comparable prices.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,(100 million yuan)
,,,,,,,,,,,,,,,,,,,Composition,,,Indices 1998=100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Per
,,,,,,,,,Transpor-,,,,,,,,,,,,,,,,,Capita
Region,Domestic,,,,,,"Farming,",,"tation,","Wholesale,",Banking,Real,Social,Health,"Education,",Scientific,,,,,,,,,,
,Product,Primary,Secondary,,,Tertiary,"Forestry,",,"Storage,",Retail,and,Estate,Services,"Care,","Culture,",Research,Government,Others,Primary,Secondary,Tertiary,Gross,Primary,Secondary,Tertiary,GDP
,(100 million,Industry,Industry,Industry,Construc,Industry,Husbadry and,Geological,Postal and,Trade and,Insurance,Trade,,Sports and,"Arts, Radio,",and,"Agencies,",,Industry,Industry,Industry,Domestic,Industry,Industry,Industry,(yuan)
,yuan),,,,-tion,,Prospecting,and Water,Telecom-,Catering,,,,Social,Film and,Polytech-,Party Agencies,,,,,Product,,,,
,,,,,,,Fishery,Conservancy,munications,Services,,,,Welfare,Television,nical,and Social,,,,,,,,,
,,,,,,,Services,,Services,,,,,,,Services,Organizations,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2174.46,87.48,840.23,649.34,190.89,1246.75,2.27,4.60,167.54,210.43,316.37,69.45,147.74,33.59,119.95,101.17,57.91,15.73,4.0,38.7,57.3,110.2,102.5,112.0,109.1,19846
Tianjin,1450.06,71.01,711.93,640.21,71.72,667.12,0.69,7.63,155.82,142.54,109.32,47.23,91.96,17.48,41.28,17.58,31.77,3.82,4.9,49.1,46.0,110.0,100.1,111.7,108.9,15976
Hebei,4569.19,805.97,2243.59,1950.21,293.38,1519.63,6.82,18.41,359.85,411.54,199.40,85.71,95.48,39.14,95.71,15.74,146.37,45.46,17.6,49.1,33.3,109.1,104.3,110.6,109.0,6932
Shanxi,1506.78,159.96,760.72,650.62,110.10,586.10,6.98,11.80,137.67,124.61,95.79,26.06,39.41,15.75,42.95,6.65,75.68,2.75,10.6,50.5,38.9,105.1,83.3,109.3,106.4,4727
Inner Mongolia,1268.20,342.91,515.46,428.33,87.13,409.83,4.32,5.33,116.64,102.99,23.37,14.75,36.86,15.27,34.18,05.02,39.98,11.12,27.0,40.6,32.3,107.8,101.0,110.3,110.0,5350
,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,4171.69,520.80,2001.48,1795.71,205.77,1649.41,12.68,8.86,314.48,575.78,125.12,89.62,210.37,67.49,101.06,35.54,95.40,13.01,12.5,48.0,39.5,108.2,105.1,108.5,108.9,10086
Jilin,1669.56,423.48,671.74,552.34,119.40,574.34,03.04,04.03,121.77,139.13,65.44,34.08,40.67,22.36,48.27,27.22,52.45,15.88,25.4,40.2,34.4,108.1,101.4,110.6,109.7,6341
Heilongjiang,2897.41,377.23,1587.76,1399.85,187.91,932.42,9.64,13.51,169.95,255.70,117.75,57.61,84.20,37.55,69.78,14.73,78.78,23.22,13.0,54.8,32.2,107.5,103.0,107.6,109.9,7660
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,4034.96,80.00,1953.98,1758.68,195.30,2000.98,3.93,7.51,271.97,445.77,577.56,210.53,191.77,54.72,115.69,55.46,58.68,7.39,2.0,48.4,49.6,110.2,102.2,109.0,113.0,30805
Jiangsu,7697.82,1003.51,3920.15,3387.99,532.16,2774.16,33.86,20.76,484.86,782.38,392.18,314.86,231.44,80.50,168.13,26.65,213.22,25.32,13.0,50.9,36.1,110.1,104.5,111.3,110.0,10665
Zhejiang,5364.89,631.94,2902.81,2630.00,272.81,1830.14,6.27,6.68,364.90,712.42,190.91,92.87,166.26,59.29,102.84,12.93,104.21,10.56,11.8,54.1,34.1,110.0,103.3,111.4,109.8,12037
