,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,422.2,6.2,1597.5,704.7,126.2,37.3,0.8,71.3,82.9,1,1.1,0.4,1.7,3.8,0.8,0.9,0.3,100.9,0.1,2.3,0.4,1.2,0.3,0,0,0,0,0,0.1,0,0.1,0.1,0.2,0,2440.7,0,39.6,192.9,52.9,7.7,0,0,5898.6
IMP_C10T14: Mining and quarrying,2,120.4,775.5,107.9,114.9,48.1,61.1,5642.8,1996.7,43.3,1012.7,772.5,1731.3,277.4,82.7,188.2,73.9,16.2,59.1,21.2,19.9,0.7,0.4,3,0.2,0.1,0.5,0,0.2,0.6,0.5,1.1,0.4,1.1,0,568,0,0.2,8.7,453,4.2,0,0,14208.9
"IMP_C15T16: Food products, beverages and tobacco",3,245.9,2.7,1348.5,323.6,5.2,3.9,1.7,97.1,11.2,1.5,1.8,1.8,5.9,20.8,5.6,2.8,4.9,13.5,0.2,1.4,2019.8,9.3,0.6,0.2,0.1,0.1,0,0.1,0.4,0.1,0.5,0.7,2019.9,0,2649.9,0,1.6,23.3,81.2,1254.4,0,0,6126.1
"IMP_C17T19: Textiles, textile products, leather and footwear",3,3.8,15.2,17.7,6570.8,5.4,18.3,2.7,37.7,48.3,8.9,7.3,7.7,36.4,189,25.7,15.8,4.3,251.2,0.3,2019.6,2019.7,0.3,0.5,0.4,0.3,0.1,0,0.1,0.4,2019.9,0.3,0.8,2019.6,0,3248.8,0,0.1,9.9,1,687.2,0,0,11227.2
IMP_C20: Wood and products of wood and cork,3,11.3,18.1,11.7,28.8,558.9,34.6,1.2,16.7,17,13.8,49.6,4.3,26.9,92.4,54,11.5,3.8,474.1,0.4,76.5,2.6,0.4,0.8,0.2,0.2,0.2,0,0.2,0.8,1.6,4.5,1.4,2.7,0,61.9,0,0.1,4.7,0.6,6,0,0,1594.5
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,26.2,27.6,569.3,521.7,63.7,2095.6,6.3,304.4,140.3,170.9,90.3,14.5,112.5,1187.6,643.3,31,17.7,471.9,2.8,6.7,73.6,2.1,4.9,29,13,2,0.5,2019.5,34.8,38.8,34.8,3.2,46.2,0,182.5,0,10.8,12.1,120.6,6,0,0,7129.7
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,240,291.4,56.4,124.6,46.3,48.9,216.1,920,90.1,198.5,130.4,306.5,126.3,93.1,93.6,45.6,25.9,95.5,182.3,373.3,116.3,13.5,739.2,6.1,12,10.5,0.6,11.8,39,34.1,11.8,8.3,32.4,0,159.8,0,0.3,8.9,1.6,104,0,0,5015.3
IMP_C24: Chemicals and chemical products,3,1189.9,309.2,561.9,4917.4,594.5,702.7,134.4,7956.5,4305.8,370.1,301.4,183.9,378.8,3767.8,1411.9,293.4,106.2,794.1,9,146.3,23.2,5.6,7.3,3,5.6,1.4,0.1,2.4,7.9,9.3,11.7,271.2,59.8,0,2318.9,0,3.1,43.4,255.7,282.7,0,0,31747.6
IMP_C25: Rubber and plastics products,3,44.3,52.5,141.1,211.1,12.7,54.1,4.1,198.2,620.3,2019.5,43.1,12.3,204.3,1043,491.1,142.9,32.8,143.9,3.2,2019.6,2019.1,1.5,2019.5,2.7,0.3,0.7,0,0.9,2.8,0.7,0.8,3.8,2.3,0,215.1,0,0.2,48.7,45.9,7.5,0,0,3871.9
IMP_C26: Other non-metallic mineral products,3,2019.1,2019.6,38.5,30.5,3.6,4.5,6.7,34.6,14.2,103.7,2019.1,50.1,25.9,912.4,86.4,17.2,4.3,31.2,0.8,110.2,1,0.6,0.8,0.4,0.3,3,0,0.4,1.2,0.7,1.2,0.6,1.1,0,158.9,0,0.1,15.7,0.8,1.9,0,0,1718.3
IMP_C27: Basic metals,3,14.9,254.7,42.9,82.2,16.3,25.9,66.1,136.4,113.9,112.1,2649.7,2964.5,2618,2985.9,4572.8,964.8,308.2,452.1,7,1018.2,3.3,0.3,12.9,0.8,0.1,6.2,0.1,2,6.5,0.1,2.6,0.7,5.5,0,68.9,0,0.1,30.5,3.4,2.7,0,0,19553.4
IMP_C28: Fabricated metal products,3,13.2,51.4,65.8,61.5,29.1,16.1,7.8,52.3,39.6,44.8,316.3,57.5,253.6,1019.7,401.1,80.9,40.7,147.4,8.7,222.5,8.4,1.8,4.5,9.2,2.2,3.2,0.2,4.6,15,7.6,2.9,2.2,3,0,168.6,0,0.2,297.6,4,11.3,0,0,3477.2
"IMP_C29: Machinery and equipment, nec",3,217.2,607.5,129.6,718.1,68.1,123,108.3,367.9,154.3,284.7,310.1,382.5,4549,2580.9,1407.3,1325.2,738.5,145.7,81.1,347.5,72.3,2.9,73.1,31.6,15.8,13.9,0.6,12.2,40.2,3.4,12.8,47.6,7.9,0,118.4,0,0.8,12574.8,214.4,305.3,0,0,28194.5
