,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,3053.5,43.8,16451.1,6793.1,981.9,776.7,7.4,1587,592,12.3,15,5.4,10.7,21.8,9.5,9.8,2.3,1582.2,0.2,2019.7,0.9,21.5,5,0.2,0.2,0.3,0.2,1.4,9.3,0.5,2019.1,2019.6,2019.1,0,13436.1,0,214.5,1753.8,599.5,33.7,0,0,48045.2
IMP_C10T14: Mining and quarrying,2,368.9,30407.3,2139.9,3256.9,885.7,1666.8,84459.8,38221.2,1627.1,40261.7,13286.2,40311,5628.6,689.8,1474.1,1007.9,495.3,1826.7,478.3,151.9,2.2,2.8,2019.6,0.5,0.5,2.5,0.4,3.2,20.5,2019.9,2019.3,2019.2,5.9,0,951.9,0,0.4,22.1,8131.4,32.9,0,0,277867.5
"IMP_C15T16: Food products, beverages and tobacco",3,2148.6,47.3,8944.9,2170.3,114.8,148.6,134.7,1342.5,185.3,85.5,175.6,88.2,209.3,814.2,288.2,141.2,44.5,312.5,2019.4,12.1,2019.3,62.9,2019.8,1.1,2019.3,2019.2,0.2,2019.2,14.3,2019.6,2019.4,2019.6,9.7,0,14132.2,0,10.6,128.3,214.4,4381.1,0,0,36393.6
"IMP_C17T19: Textiles, textile products, leather and footwear",3,10.4,2019.5,32.7,13071.8,133.7,167.1,12,204.8,287.9,2019.9,62.6,31.1,97.7,535.8,204.2,191.7,21,624.9,2019.8,7.4,4.6,2019.3,2019.8,0.7,0.8,3.9,0.3,2.4,15.8,7.1,2019.2,2019.3,2019.6,0,4842.5,0,0.2,35.6,319.3,4644.5,0,0,25641.1
IMP_C20: Wood and products of wood and cork,3,10.3,58.8,32.6,62.8,2768,410.7,13,67.7,53.3,111.7,649.6,17.3,158.6,302,164.4,88.4,61.8,345.6,1.8,295.2,1.3,1.8,3.4,0.3,0.1,0.3,0.3,2.9,2019.7,44.5,38.5,2019.2,2019.7,0,72.1,0,0.1,11.5,171.4,23.8,0,0,6098.7
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,27,34.7,1399.7,1437.5,257.5,10203.1,24.8,1283.8,679.1,620.3,661.8,38.9,416.6,3518.9,1374,244,206.4,524.5,7.2,2019.3,49.7,5.7,7.1,33.5,46.9,2019.6,6,54.3,351.7,115.4,68.6,2019.4,51.2,0,113.8,0,2.7,34.7,254.1,46.2,0,0,24257.7
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,574,1461.1,364.6,863.4,147.7,364.7,2446.2,11554.6,915.1,1628.1,1431.6,2001.2,1337.2,863.1,625.4,463.3,252.3,319.9,871.4,1221.3,87.8,54.1,3411.5,38.5,98.3,448.7,17.8,159.8,1033.6,446.8,162.6,72.7,165.2,0,469.2,0,0.5,20.5,387.7,2148.3,0,0,38930
IMP_C24: Chemicals and chemical products,3,3401.3,925.1,949.1,12600.7,1684.8,4801.2,766.7,42741.3,24580.5,2807.4,3245.5,614.7,1819.9,17599.1,6243.6,1867.7,1099.2,2270.2,33.9,482.8,39.7,2019.7,70.7,12,2019.3,120.7,7,63.1,408.1,59.8,39.9,977.1,173.5,0,4607,0,1.7,156.4,1015.8,2549.2,0,0,140866.4
IMP_C25: Rubber and plastics products,3,109.4,158.4,839.4,859.7,129.6,838.5,37.6,1398.6,5855.4,238.5,669.4,40.1,1165.4,5529.4,2579.5,1364.6,531.6,618.5,7.5,189.8,2019.9,6.6,38.1,2.2,0.7,39.2,1,9.1,59.2,5.1,2019.8,8.4,23,0,568.3,0,0.1,113.7,309.6,48.2,0,0,24433.1
IMP_C26: Other non-metallic mineral products,3,12.7,77,120.5,86.9,46.7,33,66.6,271.8,62.1,1193.4,223.7,167.1,175.9,3032.7,691.3,137.3,49.6,166.9,2019.9,647.5,0.9,0.8,2.1,0.6,0.3,1,0.1,1.1,7.4,2019.5,2019.1,4.7,1.8,0,62.1,0,0.3,33.1,128.6,12.3,0,0,7533.3
IMP_C27: Basic metals,3,19.5,1004.7,81.7,152.9,313.3,319.3,941.2,1094,468.9,964,20258.9,8794.1,14316.7,11189.5,24836.2,5309.5,2974.8,1942.3,19.6,4921,7.4,0.6,39,1.5,0.5,19.7,1.4,12.2,79,1.2,8.7,3.5,13.2,0,58.6,0,0.2,184,1495.8,37.4,0,0,101885.8
IMP_C28: Fabricated metal products,3,2019.9,114.2,94,125,116.6,164.8,44.8,239.2,178.1,217.6,2655.8,201.5,1423.3,3508.8,1860,495.6,362,384.1,44.9,798.8,5,4.9,24.9,7.4,4.2,128,5.6,50.3,325.1,10.2,15.8,14.4,18.8,0,233.2,0,0.4,1104.2,158.3,70.7,0,0,15236.2
