3-10 Age Composition and Dependency Ratio of Population by Region (2008),,,,,,,
,,,,,,,
Data in this table are obtained from the 2008 National Sample Survey on Population Changes. The sampling fraction is 0.887‰.,,,,,,,
Region,,,,,Gross,,
,Population,,,Aged 65,Dependency,Children,Old
,(person),Aged 0-14,Aged 15-64,and Over,Ratio,Dependency,Dependency
,,,,,(%),Ratio,Ratio
,,,,,,,
National Total,1178521,204088,862020,112413,36.72,23.68,13.04
,,,,,,,
Beijing,14813,1438,11852,1524,24.99,12.13,12.86
Tianjin,10114,1087,7785,1242,29.92,13.96,15.96
Hebei,62981,10115,47362,5504,32.98,21.36,11.62
Shanxi,30779,5602,22752,2424,35.28,24.62,10.66
Inner Mongolia,21816,3251,16795,1769,29.89,19.36,10.53
,,,,,,,
Liaoning,38988,4729,29840,4419,30.66,15.85,14.81
Jilin,24764,3029,19475,2260,27.16,15.55,11.61
Heilongjiang,34688,4408,27116,3163,27.92,16.26,11.67
,,,,,,,
Shanghai,16854,1332,13324,2198,26.49,10.00,16.50
Jiangsu,69168,9515,51535,8118,34.22,18.46,15.75
Zhejiang,45900,6435,34576,4889,32.75,18.61,14.14
Anhui,55498,11163,38372,5963,44.63,29.09,15.54
Fujian,32484,5764,23473,3247,38.39,24.55,13.83
Jiangxi,39623,8995,27306,3322,45.11,32.94,12.17
Shandong,84970,13245,63440,8285,33.94,20.88,13.06
,,,,,,,
Henan,84906,16848,61415,6643,38.25,27.43,10.82
Hubei,51697,7591,38869,5237,33.00,19.53,13.47
Hunan,57648,9611,41978,6059,37.33,22.89,14.43
Guangdong,85714,15835,63402,6477,35.19,24.98,10.22
Guangxi,43252,9453,29753,4045,45.37,31.77,13.60
Hainan,7665,1650,5329,686,43.85,30.97,12.88
,,,,,,,
Chongqing,25545,4857,17633,3055,44.87,27.55,17.33
Sichuan,73722,12794,52488,8440,40.45,24.37,16.08
Guizhou,34126,8888,22460,2778,51.94,39.57,12.37
Yunnan,40947,9063,28659,3225,42.88,31.62,11.25
Tibet,2576,566,1839,172,40.09,30.75,9.34
,,,,,,,
Shaanxi,33999,5592,25147,3260,35.20,22.24,12.97
Gansu,23739,4899,16902,1939,40.46,28.99,11.47
Qinghai,5007,1088,3576,343,40.03,30.44,9.59
Ningxia,5533,1266,3909,358,41.55,32.39,9.16
Xinjiang,19004,3978,13660,1366,39.12,29.12,10.00
