3-10 Age Composition and Dependency Ratio of Population by Region (2009),,,,,,,
,,,,,,,
Data in this table are obtained from the 2009 National Sample Survey on Population Changes. The sampling fraction is 0.873‰.,,,,,,,
Region,,,,,,,
,,,,,Gross,,
,Population,Aged 0-14,Aged 15-64,Aged 65,Dependency,Children,Old
,(person),,,and Over,Ratio,Dependency,Dependency
,,,,,(%),Ratio,Ratio
,,,,,,,
National Total,1164986,196517,855269,113199,36.21,22.98,13.24
,,,,,,,
Beijing,15096,1497,12075,1524,25.01,12.39,12.62
Tianjin,10473,1054,8263,1156,26.75,12.76,13.99
Hebei,62243,10274,46457,5512,33.98,22.12,11.87
Shanxi,30378,5241,22680,2457,33.94,23.11,10.83
Inner Mongolia,21499,3059,16621,1818,29.35,18.41,10.94
,,,,,,,
Liaoning,38429,4243,29767,4419,29.10,14.25,14.85
Jilin,24349,2963,19222,2164,26.67,15.42,11.26
Heilongjiang,34065,4202,26913,2951,26.58,15.61,10.96
,,,,,,,
Shanghai,16814,1271,13176,2368,27.62,9.64,17.97
Jiangsu,68371,9357,50788,8225,34.62,18.42,16.20
Zhejiang,45472,6298,34139,5035,33.20,18.45,14.75
Anhui,54638,10522,38571,5545,41.66,27.28,14.38
Fujian,32097,5481,23396,3220,37.19,23.43,13.76
Jiangxi,39186,8622,27399,3165,43.02,31.47,11.55
Shandong,83867,13132,62563,8171,34.05,20.99,13.06
,,,,,,,
Henan,83974,16089,60425,7460,38.97,26.63,12.35
Hubei,50862,7357,38330,5175,32.69,19.19,13.50
Hunan,56820,9784,40685,6351,39.66,24.05,15.61
Guangdong,84981,14734,63891,6356,33.01,23.06,9.95
Guangxi,42891,9122,29776,3993,44.05,30.63,13.41
Hainan,7606,1553,5385,667,41.23,28.84,12.39
,,,,,,,
Chongqing,25284,4649,17708,2927,42.78,26.25,16.53
Sichuan,72471,12472,51161,8838,41.65,24.38,17.28
Guizhou,33780,8377,22610,2794,49.41,37.05,12.36
Yunnan,40460,8700,28282,3478,43.06,30.76,12.30
Tibet,2556,505,1872,179,36.57,27.00,9.56
,,,,,,,
Shaanxi,33504,5305,24884,3315,34.64,21.32,13.32
Gansu,23405,4420,17033,1952,37.41,25.95,11.46
Qinghai,4934,1034,3554,345,38.81,29.10,9.71
Ningxia,5504,1176,3953,374,39.22,29.75,9.47
Xinjiang,18979,4024,13690,1264,38.63,29.40,9.23
