,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOM_C01T05: Agriculture, hunting, forestry and fishing",1,56115.8,754.9,55201.6,14778.7,3422.4,2673.8,5.3,3985.5,3727.2,99.9,106.7,5.8,89.7,24.2,14,21.8,1.4,2096.5,95.3,24505.9,3548.5,13036,1507.6,11.9,0,29.1,5.7,118.2,388.5,0,522.1,180.7,662.4,0,119961.1,0,1972.9,9168.2,6216.8,0,0,3553.3,0
DOM_C10T14: Mining and quarrying,2,723.1,4904.8,468.4,366.8,156,314,36873.2,11944.1,217.5,6256.7,4800.7,7551.1,1385.3,138.3,812.7,406.2,77.2,161.7,16409.2,8741.5,170.4,271.9,952.1,42.9,17.4,304.2,3.2,65.4,214.8,241.3,664.3,143.6,529.5,0,3430.7,0,0,0,2789.9,0,0,4608.7,0
"DOM_C15T16: Food products, beverages and tobacco",3,18322.4,31.2,19423.6,2231.9,1.6,16.7,0,1826.4,3.9,15.8,0,0,0,0.1,0,0,79.2,71.1,0,270.5,3540.4,19044.3,490.6,22.7,10.3,3.4,3.5,73.1,240.2,0,870.4,181,2946.9,0,79679.8,0,0,0,4723.9,0,633.9,8596.9,0
"DOM_C17T19: Textiles, textile products, leather and footwear",3,421.4,856.4,349.8,63884.6,205.6,1176.5,51.2,1075.5,1955.2,774.4,1002.3,145.1,1312,379.6,290.4,597.7,84.5,3466.5,528.4,1404.9,3292,611.4,720.2,332.5,320.2,92.2,4.7,97.5,320.5,4885.9,470.9,435,6701.9,0,43993.4,0,0,0,5625.8,0,437.1,44818.3,0
DOM_C20: Wood and products of wood and cork,3,472,270.5,71.4,82.1,4932,486.4,7.3,142.4,123.4,230.8,1469.6,26.7,282.5,88.6,216.8,126.9,44,2129.1,60.6,7905.3,316.5,56.1,99.5,8.8,13,26.7,1,20.9,68.5,214.9,587.8,124.8,310.3,0,743,0,0,0,74.4,0,0,2357.6,0
"DOM_C21T22: Pulp, paper, paper products, printing and publishing",3,421.5,230.6,3078.4,1268.4,330.1,19591.9,27.2,2069.6,812.2,2228.7,1343.7,64.2,770.4,1025.1,2231.7,232.2,134.9,1435.9,283.2,248.3,8009.3,199.5,437.7,1936.2,1055,89.5,36.6,756,2483.3,4324.3,3862.8,253,4421.9,0,1504.5,0,0,0,1445.2,0,0.7,1921.9,0
"DOM_C23: Coke, refined petroleum products and nuclear fuel",3,2967.4,2917,284.4,363.4,161.1,365.1,1402.7,5923.2,474.7,1748.3,1415.2,1908.5,987.4,262.5,523.3,354,205.9,286.1,5594,7783.9,3081.9,348.3,18432.9,112.9,232.8,286.5,9.3,191.9,630.5,937.1,306.8,132.9,1034.2,0,1369,0,0,0,575.5,0,130.7,3071.5,0
DOM_C24: Chemicals and chemical products,3,16380.2,2254.5,1806.1,8733.5,1739.6,4140.7,455.2,36277.6,16890.3,2553.1,3168.9,584.8,1755.4,2509.5,3498.9,1394.6,534.6,1591.7,688.2,7383.4,1694.4,389.5,292.9,85.7,245.8,57.5,5.1,105.5,346.4,625.5,848.9,14245.2,3567.9,0,9579.9,0,0,0,2112.6,0,207,11185.3,0
DOM_C25: Rubber and plastics products,3,2354,1910.6,2526.4,2113.6,174.2,1454.1,73.5,4805.5,13824.3,1171.6,1948,192.6,5041.4,4780.3,7703,3802,814.8,1613.9,497.4,2414.8,2903.6,234.9,1331,207.1,16,103.4,3.3,68.9,226.4,88,100.4,395.7,310.4,0,3663.9,0,0,0,1421.1,0,1.4,6663.6,0
DOM_C26: Other non-metallic mineral products,3,798.4,763.3,698.9,235.4,61.7,145.1,86.1,866.3,246.2,5209.4,1638.9,887.4,639.1,2887.7,1258.6,461.4,83.9,311.9,321.6,33756.5,461.1,184.3,223,54.5,70.2,1173.3,3.6,74.4,244.5,311.5,420.8,125.1,347.1,0,4418.4,0,0,28.2,557.1,0,0.1,3680.7,0
DOM_C27: Basic metals,3,269.1,2596.7,191.2,167.6,80.4,236.2,181.1,794.6,615.1,1381.9,50792.1,14769.3,20500.8,2229.7,15951.4,7841.5,2525.4,1384.4,297.1,29655.5,112.4,9.9,482.9,16.7,0,248.9,2.3,47.5,156,0,93.8,8.9,168.2,0,353.8,0,0,0,-1475,0,35.8,6073.2,0
DOM_C28: Fabricated metal products,3,667,1170.8,709.5,285.6,288.1,315,74.7,748.7,469.1,1222.9,14311,379,3484.1,1757.4,2788.1,1060.3,489.1,955.5,608.5,11558.3,534.2,121.9,235.7,327.5,97.9,215.6,9.3,192.6,632.5,557.4,195,87.4,163.7,0,2438.7,0,0,2199.5,728.1,0,3.3,8160.2,0
