,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,786.4,11,3643.4,1777.3,314,119.8,2.1,241.3,171.6,2.4,3.4,1.3,3.4,8.7,2.1,1.7,0.4,302.8,0.1,3.8,0.4,2.9,0.9,0.1,0.1,0.1,0,0.1,0.4,0.1,0.1,0.3,0.3,0,4365,0,86.9,491.9,177.6,7.4,0,0,12531.2
IMP_C10T14: Mining and quarrying,2,142,2269.5,248,371.1,103.5,154.1,17128.1,5302.5,145,3520,1416.8,4833.5,573.1,162.5,221.2,153.3,40.7,157.5,73.8,29,0.5,1.2,2019.3,0.4,0.1,1.6,0,0.4,1.8,1.1,1.6,1.8,2,0,628.2,0,0.2,15.5,749.2,5,0,0,38461.3
"IMP_C15T16: Food products, beverages and tobacco",3,494,10.9,2253.5,629.5,25,19.9,22.1,246.7,38.8,13.9,28.8,23.1,41.3,251.2,60.1,29.6,10.9,51.5,0.7,2019.7,2019.5,18.2,1.5,0.6,0.3,0.5,0,0.3,1.4,0.3,0.8,2,2019.3,0,4236.4,0,3.4,48.7,242.6,1546.5,0,0,10362.2
"IMP_C17T19: Textiles, textile products, leather and footwear",3,5.1,12.8,15.9,8253.2,34.1,49.4,3.9,65.8,105.6,11,2019.1,12.9,44.3,331.8,71.5,59.9,6.9,347.4,0.7,2019.5,2019.6,0.7,2019.2,0.9,0.3,0.7,0,0.5,2.4,3.2,0.5,2019.5,2019.1,0,3172.1,0,0.1,24.2,26.7,927.8,0,0,13625.3
IMP_C20: Wood and products of wood and cork,3,7.7,18.4,10.2,26.8,795.2,73,1.9,18.4,17.4,22.3,124.4,5.9,41.1,180.6,65.1,22.3,8.9,291.6,0.5,70.5,1.1,0.6,1.1,0.3,0.1,0.3,0,0.4,1.8,4.2,5.8,4.9,3.6,0,48.3,0,0.1,8.2,0.6,7.4,0,0,1891.3
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,27.1,26.1,725.5,690.3,125.4,3417.9,8.9,456.2,251.5,280.4,257.7,20.4,171.4,1837.1,672.3,87,40.2,419.9,4.2,7.1,38.4,3.6,5.9,43.6,2019.6,6.2,1.3,2019.5,79.7,43.8,33.5,2019.3,48.7,0,144,0,4.4,22,145.8,9.2,0,0,10205.2
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,277.3,466.8,108.8,259.4,67.3,83.9,596.8,2544.6,185.1,424.5,374.9,788,336.9,215.5,154,127.2,61.9,117.5,323.7,414,57.9,23.3,1460.8,19.5,23.3,75.3,2.1,30.3,130.4,77.4,32.6,25.3,67.3,0,232.6,0,0.4,13,3.5,128.9,0,0,10332.1
IMP_C24: Chemicals and chemical products,3,1650,405.7,469.8,5898.6,820.8,1294.6,240.9,12724.1,7759.7,811.4,928.3,290.1,605.2,8238.2,2158.8,635.7,214.5,938.2,11.9,157.2,2019.9,7.5,18.2,6.8,4.7,2019.9,0.7,10.7,46.1,12.5,11.8,486.5,85.3,0,2554.6,0,1.9,68.4,441.7,369.3,0,0,50414.3
IMP_C25: Rubber and plastics products,3,57.6,66.5,242.2,315.7,41.6,161.8,8.6,352.4,1409.9,62.1,155.1,17.9,354.8,1975.6,739.2,367.5,79.9,203.9,4.4,48.7,2019.3,3.1,2019.8,4.4,0.3,6.3,0.1,2,8.7,1.2,2.5,6.6,8,0,278.4,0,0.1,88.5,84,11.4,0,0,7204.2
IMP_C26: Other non-metallic mineral products,3,8.5,2019.9,41.6,33.1,12.9,7.5,15.1,60.3,18.6,281,57.4,64.8,46.1,1342.6,172.9,38.2,8.5,45.1,1.1,156.4,0.4,0.5,1,0.5,0.2,2019.1,0,0.3,1.5,1,1.3,1.8,1,0,90.9,0,0.2,25.2,1.2,3.5,0,0,2575.5
IMP_C27: Basic metals,3,12.6,317.3,31.9,64.3,99.2,75.8,201,248.4,154.3,204.2,6285.9,4353.1,4551.3,5852.1,8586.3,1877.9,527.7,654.4,7.8,1457.5,2.5,0.3,19,1.1,0.1,10.7,0.2,3,12.9,0.2,2.7,1.3,7,0,48.8,0,0.2,57.9,67.4,5.3,0,0,35803.5
IMP_C28: Fabricated metal products,3,14.7,56.6,49,63.9,53.7,39.5,13.2,74,60,74.2,881.1,90.3,459,1807.8,640.5,161.5,74.9,161.1,18.4,297.3,4.9,2.9,11.3,13.6,2.1,2019.1,0.8,11.4,49.2,7,4.6,6.8,8.2,0,175.5,0,0.3,581.4,18.9,22.4,0,0,6036.1
"IMP_C29: Machinery and equipment, nec",3,212.6,920,133.8,718.3,128.2,182.2,219.4,583,287.2,416.8,1377.1,677.7,8249,3932.7,2343.5,2716,1251.6,109.5,107.9,508.9,46.4,5.7,149.4,63.9,16.8,40.9,1.3,18.9,81.2,8.2,14.7,174.4,14.1,0,111.5,0,0.8,23322,328.1,364.5,0,0,49838.2
