,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,1112.6,12.4,5848,2913,516.6,287.3,3.8,515.4,230.8,4.6,6.6,2.8,4.2,10.6,3.7,3,0.7,567,0.2,2.5,0.5,7.3,2,0.1,0.1,0,0,0.2,2019.5,0.1,0.3,0.7,0.9,0,5254.3,0,127.8,485.5,420.3,25.7,0,0,18373.1
IMP_C10T14: Mining and quarrying,2,114.5,7018.5,621.8,1086.5,260.6,483.4,37847.1,13508.2,479.7,12376.9,4554.8,14741.4,1534.9,271.7,445.6,353.4,124.5,505.1,219.5,65.5,0.8,2,2019.7,0.2,0.2,0.3,0.1,0.6,4.1,2.7,2.4,2019.4,3.2,0,267,0,0.2,24.4,1444.9,11.3,0,0,98393.1
"IMP_C15T16: Food products, beverages and tobacco",3,915,19.2,3708.5,1084.4,62.7,63.6,51.9,521.3,82.8,34.9,100.2,52.7,105.5,456.1,138.5,81.6,17.6,125.2,2019.5,5.4,2019.1,31.5,2019.7,0.8,0.5,0.5,0.1,0.6,3.8,0.9,2019.8,2019.5,6,0,6312.7,0,5.8,55.4,394.5,3431.4,0,0,17882.8
"IMP_C17T19: Textiles, textile products, leather and footwear",3,4.9,2019.9,18.7,9673.8,141.4,99.7,6.5,92.7,165,2019.5,45.4,24.2,59.3,380,122.2,146.5,10.1,394.1,2019.4,2019.9,2019.8,1,2019.1,0.8,0.4,0.6,0.1,0.9,2019.6,2019.9,0.7,2019.8,2019.1,0,3570.7,0,0.2,21.6,131.9,1033.3,0,0,16201.6
IMP_C20: Wood and products of wood and cork,3,3.3,13.4,9.5,23.1,1104.5,111.6,3.4,18.6,16.7,2019.1,210.7,6.8,45.3,103.4,47.4,2019.3,10.8,92.8,0.6,66.3,0.4,0.6,1.1,0.2,0,0.1,0,0.4,2.6,2019.1,2019.3,7.5,2019.2,0,2019.7,0,0.1,8.6,5.7,4.9,0,0,2027.2
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,19.7,25.5,862,982.4,235.9,5855.8,11.7,673.6,413.4,383.7,523.3,29.2,250,2242.9,794.4,173,72.4,299.7,6.3,10.4,35.1,4.8,6,2019.7,2019.1,4.2,2.1,2019.2,123.4,50.4,41,2019.7,49.2,0,75.6,0,4.7,18.4,56.7,19.4,0,0,14443
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,332.2,813.5,189,467.6,92.1,173.5,1182.4,5435.9,370.5,844.2,947.7,1483.5,712.8,372.7,294.4,282.8,108.3,154,664.3,705.5,55,41.3,2622.9,27.4,46.4,77.2,5.8,52.6,337.6,183.1,90.5,52.7,147,0,292.8,0,0.5,15.4,7.2,630.9,0,0,20313.3
IMP_C24: Chemicals and chemical products,3,1971.8,521.7,488.8,8333.4,1373.1,2631.5,357.5,21245.4,14154.8,1444,2170.4,446.8,988.6,11391.7,3494.6,1220.9,408.2,1240.5,2019.6,230.8,2019.8,10,31.6,7.4,5.7,2019.6,1.9,2019.5,112.5,2019.9,2019.7,715.1,132.1,0,2941.8,0,2.4,68.1,728.5,424.9,0,0,79410.6
IMP_C25: Rubber and plastics products,3,58.1,78,384.4,482.8,85.7,403.5,13.9,599.9,2895,108,394.3,25.9,563,2964.8,1228.9,758.7,174.9,285.5,5.2,96.1,2019.8,4.4,2019.7,1.6,0.4,5.9,0.3,2.7,2019.4,1.9,6.3,6.6,2019.2,0,321.9,0,0.1,78.2,126.4,16,0,0,12255.6
IMP_C26: Other non-metallic mineral products,3,5.8,34.9,51.2,45,32.1,15.1,27.5,104.5,28.5,490.8,120.6,95.4,80.4,1500.1,304.6,73.1,13.8,72.1,1.4,207,0.4,0.4,1,0.4,0.1,0.2,0,0.3,1.8,1.3,1.6,2019.4,1,0,35.9,0,0.2,23,2.5,5.1,0,0,3381.6
IMP_C27: Basic metals,3,8,430.7,37.1,78.9,240.3,168.4,517.8,483.9,241.5,420.1,12789.4,6382,7593.8,6854.1,13426.7,3336,933.6,1036.6,10,2024.5,3.3,0.3,2019.1,0.5,0.2,2.3,0.3,2.7,17.6,0.2,3.4,1.9,8.2,0,30.1,0,0.2,76.7,499.4,11.1,0,0,57691.9
IMP_C28: Fabricated metal products,3,2019.3,61.6,52,89.2,106,92.7,20,121.7,105.6,118.4,1921.1,140.6,820.5,2392.1,1070,305.2,133.1,219.6,34,447.4,3,3.7,18.9,5.2,2,2019.9,1.8,16.4,105.4,4.1,8.7,12.5,16.8,0,146.5,0,0.3,536.8,72.7,42.2,0,0,9285.1
"IMP_C29: Machinery and equipment, nec",3,187.4,1191,153.6,845.9,234.1,292.4,355.8,871.2,481.2,599.9,3193.6,991.1,12909,4312.7,3506.6,4539.7,1934.8,78.7,119.8,715.8,26,7.8,198.4,40.3,15,15.3,1.6,14.4,92.7,15.8,16.9,317.8,21,0,87.3,0,0.8,21529.8,534.8,488.5,0,0,60938.4
